article_id,article_version,related_num,r_article_id,r_article_version,r_lcd_id,r_lcd_version,r_contractor_id,last_updated
52370,109,1,,,33394,2,297,2014-04-02 20:41:53
52370,109,2,52855,2,,,297,2014-04-02 20:42:24
52370,113,1,,,33394,2,297,2014-04-02 20:41:53
52370,113,2,52855,2,,,297,2014-04-02 20:42:24
52370,115,1,,,33394,2,297,2014-04-02 20:41:53
52370,115,2,52855,2,,,297,2014-04-02 20:42:24
52370,119,1,,,33394,53,297,2025-05-22 13:37:29.373000000
52370,122,1,,,33394,53,297,2025-05-22 13:37:29.373000000
52370,125,1,,,33394,53,297,2025-05-22 13:37:29.373000000
52370,128,1,,,33394,53,297,2025-05-22 13:37:29.373000000
52399,50,1,,,33394,2,297,2014-04-02 20:44:12
52399,50,2,52855,2,,,297,2014-04-02 20:44:05
52399,57,1,,,33394,2,297,2014-04-02 20:44:12
52399,57,2,52855,2,,,297,2014-04-02 20:44:05
52399,61,1,,,33394,2,297,2014-04-02 20:44:12
52399,61,2,52855,2,,,297,2014-04-02 20:44:05
52399,63,1,,,33394,2,297,2014-04-02 20:44:12
52399,63,2,52855,2,,,297,2014-04-02 20:44:05
52399,65,1,,,33394,2,297,2014-04-02 20:44:12
52399,65,2,52855,2,,,297,2014-04-02 20:44:05
52420,60,1,,,33394,2,297,2014-04-02 20:47:11
52420,60,2,52855,2,,,297,2014-04-02 20:47:04
52420,63,1,,,33394,2,297,2014-04-02 20:47:11
52420,63,2,52855,2,,,297,2014-04-02 20:47:04
52421,22,1,,,33394,2,297,2014-04-02 20:47:49
52421,22,2,52855,2,,,297,2014-04-02 20:47:42
52423,83,1,,,33394,49,297,2024-06-05 19:36:18.980000000
52448,21,1,,,33394,2,297,2014-04-02 20:52:05
52448,21,2,52855,2,,,297,2014-04-02 20:51:58
52448,23,1,,,33394,2,297,2014-04-02 20:52:05
52448,23,2,52855,2,,,297,2014-04-02 20:51:58
52450,78,1,,,33394,2,297,2014-04-02 20:53:45
52450,78,2,52855,2,,,297,2014-04-02 20:53:38
52450,80,1,,,33394,2,297,2014-04-02 20:53:45
52450,80,2,52855,2,,,297,2014-04-02 20:53:38
52451,63,1,,,33394,2,297,2014-04-02 20:54:43
52451,63,2,52855,2,,,297,2014-04-02 20:54:29
52451,68,1,,,33394,2,297,2014-04-02 20:54:43
52451,68,2,52855,2,,,297,2014-04-02 20:54:29
52451,72,1,,,33394,2,297,2014-04-02 20:54:43
52451,72,2,52855,2,,,297,2014-04-02 20:54:29
52451,75,1,,,33394,2,297,2014-04-02 20:54:43
52451,75,2,52855,2,,,297,2014-04-02 20:54:29
52451,78,1,,,33394,2,297,2014-04-02 20:54:43
52451,78,2,52855,2,,,297,2014-04-02 20:54:29
52451,81,1,,,33394,2,297,2014-04-02 20:54:43
52451,81,2,52855,2,,,297,2014-04-02 20:54:29
52453,37,1,,,33394,2,297,2014-04-02 20:51:23
52453,37,2,52855,2,,,297,2014-04-02 20:51:18
52453,40,1,,,33394,2,297,2014-04-02 20:51:23
52453,40,2,52855,2,,,297,2014-04-02 20:51:18
52453,48,1,,,33394,2,297,2014-04-02 20:51:23
52453,48,2,52855,2,,,297,2014-04-02 20:51:18
52457,60,1,55426,12,,,388,2017-03-08 20:01:31.717000000
52457,60,2,,,33686,1,140,2014-04-02 19:22:25
52457,63,1,55426,12,,,388,2017-03-08 20:01:31.717000000
52457,63,2,,,33686,1,140,2014-04-02 19:22:25
52458,34,1,55426,14,,,388,2017-04-24 16:23:45.990000000
52458,34,2,,,33690,1,140,2014-04-03 20:51:41
52458,36,1,55426,14,,,388,2017-04-24 16:23:45.990000000
52458,36,2,,,33690,1,140,2014-04-03 20:51:41
52459,17,1,,,33733,1,140,2014-04-03 20:52:34
52459,17,2,55426,12,,,388,2017-03-21 17:42:33.003000000
52459,19,1,55426,12,,,388,2017-03-21 17:42:33.003000000
52459,19,2,,,33733,1,140,2014-04-03 20:52:34
52459,23,1,55426,12,,,388,2017-03-21 17:42:33.003000000
52459,23,2,,,33733,1,140,2014-04-03 20:52:34
52460,12,1,55426,12,,,140,2017-04-12 11:15:01.960000000
52460,12,2,,,33735,1,140,2014-04-03 20:53:16
52460,16,1,55426,12,,,140,2017-04-12 11:15:01.960000000
52460,16,2,,,33735,1,140,2014-04-03 20:53:16
52461,17,1,55426,12,,,388,2017-03-13 15:50:42.460000000
52461,17,2,,,33736,1,140,2014-04-03 20:53:50
52461,21,1,55426,12,,,388,2017-03-13 15:50:42.460000000
52461,21,2,,,33736,1,140,2014-04-03 20:53:50
52462,19,1,,,33737,1,140,2014-04-03 20:54:27
52462,19,2,55426,12,,,140,2017-04-11 19:21:14.173000000
52462,22,1,55426,12,,,140,2017-04-11 19:21:14.173000000
52462,22,2,,,33737,1,140,2014-04-03 20:54:27
52462,26,1,55426,12,,,140,2017-04-11 19:21:14.173000000
52462,26,2,,,33737,1,140,2014-04-03 20:54:27
52462,28,1,55426,12,,,140,2017-04-11 19:21:14.173000000
52462,28,2,,,33737,1,140,2014-04-03 20:54:27
52462,30,1,55426,12,,,140,2017-04-11 19:21:14.173000000
52462,30,2,,,33737,1,140,2014-04-03 20:54:27
52462,32,1,55426,12,,,140,2017-04-11 19:21:14.173000000
52462,32,2,,,33737,1,140,2014-04-03 20:54:27
52463,18,1,,,33738,1,140,2014-04-03 20:55:18
52463,18,2,55426,14,,,140,2017-05-04 14:09:15.473000000
52463,21,1,55426,14,,,140,2017-05-04 14:09:15.473000000
52463,21,2,,,33738,1,140,2014-04-03 20:55:18
52463,25,1,55426,14,,,140,2017-05-04 14:09:15.473000000
52463,25,2,,,33738,1,140,2014-04-03 20:55:18
