article_id,article_version,related_num,r_ncd_id,r_ncd_version,last_updated
52369,13,1,0,1,2025-04-29 23:04:18.650000000
52369,16,1,0,1,2025-04-29 23:04:18.650000000
52370,115,1,0,1,2025-04-29 23:04:18.687000000
52370,119,1,0,1,2025-04-29 23:04:18.690000000
52370,122,1,0,1,2025-04-29 23:04:18.690000000
52370,125,1,0,1,2025-04-29 23:04:18.690000000
52370,128,1,0,1,2025-04-29 23:04:18.690000000
52379,9,1,0,1,2025-04-29 23:04:18.900000000
52399,50,1,158,1,2025-04-29 23:04:18.913000000
52399,57,1,158,1,2025-04-29 23:04:18.913000000
52399,61,1,158,1,2025-04-29 23:04:18.913000000
52399,63,1,158,1,2025-04-29 23:04:18.913000000
52399,65,1,158,1,2025-04-29 23:04:18.913000000
52420,60,1,0,1,2025-04-29 23:04:19.210000000
52420,63,1,0,1,2025-04-29 23:04:19.210000000
52421,22,1,0,1,2025-04-29 23:04:19.230000000
52423,83,1,0,1,2025-04-29 23:04:19.393000000
52430,11,1,1,1,2025-04-29 23:04:20.467000000
52430,12,1,1,1,2025-04-29 23:04:20.467000000
52432,14,1,0,1,2025-04-29 23:04:20.470000000
52434,50,1,0,1,2025-04-29 23:04:20.277000000
52435,13,1,0,1,2025-04-29 23:04:20.470000000
52435,14,1,0,1,2025-04-29 23:04:20.470000000
52437,16,1,0,1,2025-04-29 23:04:20.470000000
52437,17,1,0,1,2025-04-29 23:04:20.470000000
52438,20,1,0,1,2025-04-29 23:04:20.470000000
52438,22,1,0,1,2025-04-29 23:04:20.470000000
52447,29,1,57,1,2025-04-29 23:04:20.287000000
52448,21,1,0,1,2025-04-29 23:04:19.773000000
52448,23,1,0,1,2025-04-29 23:04:19.773000000
52450,80,1,0,1,2025-04-29 23:04:19.847000000
52451,63,1,0,1,2025-04-29 23:04:19.960000000
52451,68,1,0,1,2025-04-29 23:04:19.973000000
52451,72,1,0,1,2025-04-29 23:04:19.973000000
52451,75,1,0,1,2025-04-29 23:04:19.973000000
52451,78,1,0,1,2025-04-29 23:04:19.973000000
52451,81,1,0,1,2025-04-29 23:04:19.973000000
52453,40,1,0,1,2025-04-29 23:04:19.470000000
52453,48,1,0,1,2025-04-29 23:04:19.470000000
52457,63,1,0,1,2025-04-29 23:04:19.403000000
52458,34,1,0,1,2025-04-29 23:04:19.403000000
52458,36,1,0,1,2025-04-29 23:04:19.403000000
52459,23,1,190,1,2025-04-29 23:04:19.403000000
52459,23,2,168,1,2025-04-29 23:04:19.407000000
52459,23,3,219,1,2025-04-29 23:04:19.407000000
52460,16,1,0,1,2025-04-29 23:04:19.410000000
52461,21,1,190,1,2025-04-29 23:04:19.410000000
52462,28,1,0,1,2025-04-29 23:04:19.410000000
52462,30,1,0,1,2025-04-29 23:04:19.413000000
52462,32,1,0,1,2025-04-29 23:04:19.413000000
52463,28,1,0,1,2025-04-29 23:04:19.413000000
52463,30,1,0,1,2025-04-29 23:04:19.417000000
52463,32,1,0,1,2025-04-29 23:04:19.417000000
52464,60,1,222,1,2025-04-29 23:04:19.417000000
52464,60,2,190,1,2025-04-29 23:04:19.420000000
52464,62,1,222,1,2025-04-29 23:04:19.423000000
52464,62,2,190,1,2025-04-29 23:04:19.423000000
52465,60,1,0,1,2025-04-29 23:04:19.430000000
52465,65,1,0,1,2025-04-29 23:04:19.430000000
52465,70,1,0,1,2025-04-29 23:04:19.430000000
52466,72,1,321,1,2025-04-29 23:04:19.430000000
52466,72,2,190,1,2025-04-29 23:04:19.433000000
52466,80,1,321,1,2025-04-29 23:04:19.430000000
52466,80,2,190,1,2025-04-29 23:04:19.433000000
52467,54,1,119,1,2025-04-29 23:04:19.433000000
52467,54,2,330,1,2025-04-29 23:04:19.437000000
52467,54,3,190,1,2025-04-29 23:04:19.437000000
52468,22,1,190,1,2025-04-29 23:04:19.440000000
52468,22,2,228,1,2025-04-29 23:04:19.440000000
52469,28,1,190,1,2025-04-29 23:04:19.443000000
52469,28,2,274,1,2025-04-29 23:04:19.443000000
52470,16,1,0,1,2025-04-29 23:04:20.473000000
52470,18,1,0,1,2025-04-29 23:04:20.473000000
52474,37,1,0,1,2025-04-29 23:04:19.447000000
52474,40,1,0,1,2025-04-29 23:04:19.447000000
52476,27,1,190,1,2025-04-29 23:04:19.450000000
52477,16,1,315,1,2025-04-29 23:04:19.450000000
52477,16,2,190,1,2025-04-29 23:04:19.453000000
52478,22,1,0,1,2025-04-29 23:04:19.453000000
52478,24,1,0,1,2025-04-29 23:04:19.457000000
52478,26,1,0,1,2025-04-29 23:04:19.457000000
52479,64,1,0,1,2025-04-29 23:04:19.460000000
52479,67,1,0,1,2025-04-29 23:04:19.460000000
52479,69,1,0,1,2025-04-29 23:04:19.460000000
52479,73,1,0,1,2025-04-29 23:04:19.460000000
52480,83,1,309,2,2025-04-30 18:55:53.630000000
52480,86,1,309,2,2025-04-30 18:55:53.630000000
52480,90,1,309,2,2025-04-30 18:55:53.630000000
52481,27,1,208,1,2025-04-29 23:04:19.463000000
52481,30,1,208,1,2025-04-29 23:04:19.470000000
52487,27,1,0,1,2025-04-29 23:04:19.470000000
52487,30,1,0,1,2025-04-29 23:04:19.473000000
52487,33,1,0,1,2025-04-29 23:04:19.477000000
52489,24,1,190,1,2025-04-29 23:04:19.480000000
52490,27,1,190,1,2025-04-29 23:04:19.480000000
52492,20,1,0,1,2025-04-29 23:04:19.480000000
52494,59,1,0,1,2025-04-29 23:04:19.483000000
52494,63,1,0,1,2025-04-29 23:04:19.483000000
52495,18,1,229,1,2025-04-29 23:04:19.487000000
52496,52,1,0,1,2025-04-29 23:04:19.487000000
52496,55,1,0,1,2025-04-29 23:04:19.490000000
52496,57,1,0,1,2025-04-29 23:04:19.490000000
52496,59,1,0,1,2025-04-29 23:04:19.490000000
52497,35,1,190,1,2025-04-29 23:04:19.493000000
52497,35,2,219,1,2025-04-29 23:04:19.493000000
52498,57,1,190,1,2025-04-29 23:04:19.497000000
52498,57,2,219,1,2025-04-29 23:04:19.497000000
52498,57,3,376,1,2025-04-29 23:04:19.500000000
52498,59,1,190,1,2025-04-29 23:04:19.497000000
52498,59,2,219,1,2025-04-29 23:04:19.497000000
52498,59,3,376,1,2025-04-29 23:04:19.500000000
52498,61,1,190,1,2025-04-29 23:04:19.497000000
52498,61,2,219,1,2025-04-29 23:04:19.497000000
52498,61,3,376,1,2025-04-29 23:04:19.500000000
52499,23,1,136,1,2025-04-29 23:04:19.500000000
52499,23,2,233,1,2025-04-29 23:04:19.503000000
52500,42,1,0,1,2025-04-29 23:04:19.503000000
52500,44,1,0,1,2025-04-29 23:04:19.507000000
52501,47,1,0,1,2025-04-29 23:04:19.507000000
52502,20,1,190,1,2025-04-29 23:04:19.510000000
52503,23,1,190,1,2025-04-29 23:04:19.510000000
52503,23,2,219,1,2025-04-29 23:04:19.513000000
52503,26,1,190,1,2025-04-29 23:04:19.510000000
52503,26,2,219,1,2025-04-29 23:04:19.513000000
52504,52,1,190,1,2025-04-29 23:04:19.513000000
52504,52,2,219,1,2025-04-29 23:04:19.517000000
52504,52,3,376,1,2025-04-29 23:04:19.517000000
52504,55,1,190,1,2025-04-29 23:04:19.530000000
52504,55,2,219,1,2025-04-29 23:04:19.530000000
52504,55,3,376,1,2025-04-29 23:04:19.533000000
52504,59,1,190,1,2025-04-29 23:04:19.530000000
52504,59,2,219,1,2025-04-29 23:04:19.530000000
52504,59,3,376,1,2025-04-29 23:04:19.533000000
52505,71,1,190,1,2025-04-29 23:04:19.537000000
52505,71,2,219,1,2025-04-29 23:04:19.537000000
52505,74,1,190,1,2025-04-29 23:04:19.547000000
52505,74,2,219,1,2025-04-29 23:04:19.547000000
52505,77,1,190,1,2025-04-29 23:04:19.547000000
52505,77,2,219,1,2025-04-29 23:04:19.547000000
52507,134,1,223,1,2025-04-29 23:04:19.563000000
52507,134,2,190,1,2025-04-29 23:04:19.567000000
52507,139,1,223,1,2025-04-29 23:04:19.583000000
52507,139,2,190,1,2025-04-29 23:04:19.583000000
52507,143,1,223,1,2025-04-29 23:04:19.583000000
52507,143,2,190,1,2025-04-29 23:04:19.583000000
52507,146,1,223,1,2025-04-29 23:04:19.583000000
52507,146,2,190,1,2025-04-29 23:04:19.583000000
52507,151,1,223,1,2025-04-29 23:04:19.583000000
52507,151,2,190,1,2025-04-29 23:04:19.583000000
52508,39,1,190,1,2025-04-29 23:04:19.587000000
52508,39,2,227,1,2025-04-29 23:04:19.590000000
52509,56,1,0,1,2025-04-29 23:04:19.590000000
52509,61,1,0,1,2025-04-29 23:04:19.590000000
52510,58,1,0,1,2025-04-29 23:04:19.593000000
52510,61,1,0,1,2025-04-29 23:04:19.593000000
52511,28,1,0,1,2025-04-29 23:04:19.593000000
52512,46,1,0,1,2025-04-29 23:04:19.597000000
52513,43,1,65,1,2025-04-29 23:04:19.597000000
52514,61,1,169,1,2025-04-29 23:04:19.600000000
52514,61,2,312,1,2025-04-29 23:04:19.600000000
52514,61,3,47,1,2025-04-29 23:04:19.603000000
52514,61,4,190,1,2025-04-29 23:04:19.603000000
52516,26,1,190,1,2025-04-29 23:04:19.607000000
52517,46,1,0,1,2025-04-29 23:04:19.607000000
52517,50,2,380,1,2025-10-01 19:56:19.217000000
52518,36,1,221,1,2025-04-29 23:04:19.610000000
52518,36,2,190,1,2025-04-29 23:04:19.610000000
52519,39,1,190,1,2025-04-29 23:04:19.610000000
52520,31,1,145,1,2025-04-29 23:04:19.613000000
52520,31,2,63,1,2025-04-29 23:04:19.617000000
52520,31,3,151,1,2025-04-29 23:04:19.617000000
52520,31,4,354,1,2025-04-29 23:04:19.620000000
52520,31,5,273,1,2025-04-29 23:04:19.620000000
52521,38,1,0,1,2025-04-29 23:04:19.623000000
52521,43,1,0,1,2025-04-29 23:04:19.627000000
52521,48,1,0,1,2025-04-29 23:04:19.633000000
52521,51,1,0,1,2025-04-29 23:04:19.633000000
52527,76,1,0,1,2025-04-29 23:04:20.473000000
52527,77,1,0,1,2025-04-29 23:04:20.477000000
52527,80,1,0,1,2025-04-29 23:04:20.480000000
52527,81,1,0,1,2025-04-29 23:04:20.480000000
