"article_id","article_version","bill_code_id","bill_code_version","last_updated","description"
"52369","16","011","7","2025-12-22 15:54:37.430000000","Hospital Inpatient (Including Medicare Part A)"
"52369","16","012","7","2025-12-22 15:54:37.430000000","Hospital Inpatient (Medicare Part B only)"
"52369","16","013","7","2025-12-22 15:54:37.433000000","Hospital Outpatient"
"52369","16","085","7","2025-12-22 15:54:37.437000000","Critical Access Hospital"
"52430","12","085","7","2025-11-26 22:23:51.140000000","Critical Access Hospital"
"52430","12","073","7","2025-11-26 22:23:51.133000000","Clinic - Freestanding"
"52430","12","077","7","2025-11-26 22:23:51.137000000","Clinic - Federally Qualified Health Center (FQHC)"
"52430","12","013","7","2025-11-26 22:23:51.127000000","Hospital Outpatient"
"52430","12","012","7","2025-11-26 22:23:51.123000000","Hospital Inpatient (Medicare Part B only)"
"52430","12","011","7","2025-11-26 22:23:51.120000000","Hospital Inpatient (Including Medicare Part A)"
"52430","12","021","7","2025-11-26 22:23:51.127000000","Skilled Nursing - Inpatient (Including Medicare Part A)"
"52430","12","022","7","2025-11-26 22:23:51.130000000","Skilled Nursing - Inpatient (Medicare Part B only)"
"52430","12","071","7","2025-11-26 22:23:51.133000000","Clinic - Rural Health"
"52432","14","071","7","2023-11-07 17:38:39.770000000","Clinic - Rural Health"
"52432","14","011","7","2023-11-07 17:38:39.767000000","Hospital Inpatient (Including Medicare Part A)"
"52432","14","013","7","2023-11-07 17:38:39.767000000","Hospital Outpatient"
"52432","14","085","7","2023-11-07 17:38:39.770000000","Critical Access Hospital"
"52435","14","085","7","2025-11-26 22:25:16.780000000","Critical Access Hospital"
"52435","14","077","7","2025-11-26 22:25:16.777000000","Clinic - Federally Qualified Health Center (FQHC)"
"52435","14","073","7","2025-11-26 22:25:16.773000000","Clinic - Freestanding"
"52435","14","013","7","2025-11-26 22:25:16.763000000","Hospital Outpatient"
"52435","14","011","7","2025-11-26 22:25:16.757000000","Hospital Inpatient (Including Medicare Part A)"
"52435","14","012","7","2025-11-26 22:25:16.760000000","Hospital Inpatient (Medicare Part B only)"
"52435","14","071","7","2025-11-26 22:25:16.773000000","Clinic - Rural Health"
"52435","14","023","7","2025-11-26 22:25:16.770000000","Skilled Nursing - Outpatient"
"52435","14","022","7","2025-11-26 22:25:16.767000000","Skilled Nursing - Inpatient (Medicare Part B only)"
"52435","14","021","7","2025-11-26 22:25:16.763000000","Skilled Nursing - Inpatient (Including Medicare Part A)"
"52437","17","012","7","2025-11-26 22:26:51.967000000","Hospital Inpatient (Medicare Part B only)"
"52437","17","011","7","2025-11-26 22:26:51.963000000","Hospital Inpatient (Including Medicare Part A)"
"52437","17","013","7","2025-11-26 22:26:51.970000000","Hospital Outpatient"
