"article_id","article_version","article_type","code_table_row","brand_name","eff_date","end_date","comments","hcpc_code_id","hcpc_code_version","last_updated","short_description","long_description"
"52527","89","3","1","Besremi (ropeginterferon alfa-2b-njft) ","2022-04-24 00:00:00","","Apparent on its Face","C9399","100","2025-12-26 14:14:25","Unclassified drugs or biolog","UNCLASSIFIED DRUGS OR BIOLOGICALS"
"52527","89","3","2","Kesimpta® (ofatumumab) 

Can be billed under J3490, J3590 as well","2022-11-19 00:00:00","","Apparent on its Face","C9399","100","2025-12-26 14:14:25","Unclassified drugs or biolog","UNCLASSIFIED DRUGS OR BIOLOGICALS"
"52527","89","3","3","Abatacept*
Orencia*
Orencia Clickjet*
Note: If being administered IV use modifier “JA”; if administered subcutaneously use modifier “JB” (subcutaneous injection is considered self-administered) ","2021-03-27 00:00:00","","Acceptable Evidentiary Criteria Available","J0129","100","2025-12-26 14:14:25","Abatacept injection","INJECTION, ABATACEPT, 10 MG (CODE MAY BE USED FOR MEDICARE WHEN DRUG ADMINISTERED UNDER THE DIRECT SUPERVISION OF A PHYSICIAN, NOT FOR USE WHEN DRUG IS SELF ADMINISTERED)"
"52527","89","3","4","Injection, adalimumab, 1 mg	Humira®","2025-01-01 00:00:00","","Apparent on its Face","J0139","100","2025-12-26 14:14:25","Inj, adalimumab, 1 mg","INJECTION, ADALIMUMAB, 1 MG"
"52527","89","3","5","Caverjet®, <br> Edex®","2003-03-15 00:00:00","","Apparent on its Face","J0270","100","2025-12-26 14:14:25","Alprostadil for injection","INJECTION, ALPROSTADIL, 1.25 MCG (CODE MAY BE USED FOR MEDICARE WHEN DRUG ADMINISTERED UNDER THE DIRECT SUPERVISION OF A PHYSICIAN, NOT FOR USE WHEN DRUG IS SELF ADMINISTERED)"
"52527","89","3","6","Apokyn","2017-05-31 00:00:00","","Apparent on its Face","J0364","100","2025-12-26 14:14:25","Apomorphine hydrochloride","INJECTION, APOMORPHINE HYDROCHLORIDE, 1 MG"
"52527","89","3","7","Belimumab*
Benlysta*
Note: If being administered IV use modifier “JA”; if administered subcutaneously use modifier “JB” (subcutaneous injection is considered self-administered) ","2021-03-27 00:00:00","","Acceptable Evidentiary Criteria Available","J0490","100","2025-12-26 14:14:25","Belimumab injection","INJECTION, BELIMUMAB, 10 MG"
"52527","89","3","8","LANADELUMAB-FYO
(Takhzyro)","2019-10-01 00:00:00","","Apparent on its Face","J0593","100","2025-12-26 14:14:25","Inj., lanadelumab-flyo, 1 mg","INJECTION, LANADELUMAB-FLYO, 1 MG (CODE MAY BE USED FOR MEDICARE WHEN DRUG ADMINISTERED UNDER DIRECT SUPERVISION OF A PHYSICIAN, NOT FOR USE WHEN DRUG IS SELF-ADMINISTERED)"
"52527","89","3","9","C1 Inhibitor (Human)
Berinert
Cinryze
Haegarda
Note: Prior to 01/01/2019 billed under J3490","2017-09-25 00:00:00","","Apparent on its Face","J0599","100","2025-12-26 14:14:25","Inj., haegarda 10 units","INJECTION, C-1 ESTERASE INHIBITOR (HUMAN), (HAEGARDA), 10 UNITS"
"52527","89","3","10","Calcimar
Fortical-DSC
Miacalcin
Osteocalcin
Salmonine","2003-03-15 00:00:00","","Apparent on its Face","J0630","100","2025-12-26 14:14:25","Calcitonin salmon injection","INJECTION, CALCITONIN SALMON, UP TO 400 UNITS"
"52527","89","3","11","Acthar® Gel* (use modifier “JA”; if administered subcutaneously use modifier “JB” (subcutaneous injection is considered self-administered) ","2023-10-01 00:00:00","","Apparent on its Face","J0801","100","2025-12-26 14:14:25","Inj. acthar gel to 40 units","INJECTION, CORTICOTROPIN (ACTHAR GEL), UP TO 40 UNITS"
"52527","89","3","12","Purified Cortrophin Gel ®*(use modifier “JA”; if administered subcutaneously use modifier “JB” (subcutaneous injection is considered self-administered) ","2023-10-01 00:00:00","","Apparent on its Face","J0802","100","2025-12-26 14:14:25","Inj. (ani), up to 40 units","INJECTION, CORTICOTROPIN (ANI), UP TO 40 UNITS"
"52527","89","3","13","Fuzeon","2007-05-16 00:00:00","","Apparent on its Face","J1324","100","2025-12-26 14:14:25","Enfuvirtide injection","INJECTION, ENFUVIRTIDE, 1 MG"
"52527","89","3","14","Enbrel®
Enbrel Mini
Enbrel Sure Click
Brenzys
Also see J3590 Etanercept-szzs (Erelzi)","2003-03-15 00:00:00","","Apparent on its Face","J1438","100","2025-12-26 14:14:25","Etanercept injection","INJECTION, ETANERCEPT, 25 MG (CODE MAY BE USED FOR MEDICARE WHEN DRUG ADMINISTERED UNDER THE DIRECT SUPERVISION OF A PHYSICIAN, NOT FOR USE WHEN DRUG IS SELF ADMINISTERED)"
"52527","89","3","15","Copaxone
Glatopa
","2007-05-16 00:00:00","","Apparent on its Face","J1595","100","2025-12-26 14:14:25","Injection glatiramer acetate","INJECTION, GLATIRAMER ACETATE, 20 MG"
"52527","89","3","16","Guselkumab
Tremfya *Note: If being administered IV use modifier “JA”; if administered subcutaneously use modifier “JB” (subcutaneous injection is considered self-administered) ","2021-05-15 00:00:00","","Acceptable Evidentiary Criteria Available","J1628","100","2025-12-26 14:14:25","Inj., guselkumab, 1 mg","INJECTION, GUSELKUMAB, 1 MG"
"52527","89","3","17","Supprelin","2007-05-16 00:00:00","","Apparent on its Face","J1675","100","2025-12-26 14:14:25","Histrelin acetate","INJECTION, HISTRELIN ACETATE, 10 MICROGRAMS"
"52527","89","3","18","Firazyr","2013-10-23 00:00:00","","Apparent on its Face","J1744","100","2025-12-26 14:14:25","Icatibant injection","INJECTION, ICATIBANT, 1 MG"
"52527","89","3","19","Insulin via insulin pump (fiasp) ","2023-08-20 00:00:00","","Apparent on its Face","J1811","100","2025-12-26 14:14:25","Fiasp for insulin pump use","INSULIN (FIASP) FOR ADMINISTRATION THROUGH DME (I.E., INSULIN PUMP) PER 50 UNITS"
"52527","89","3","20","Inj. Insulin (fiasp) *Note: If being administered IV use modifier “JA”; if administered subcutaneously use modifier “JB” (subcutaneous injection is considered self-administered)","2023-08-13 00:00:00","","Apparent on its Face","J1812","100","2025-12-26 14:14:25","Inj. insulin (fiasp)","INSULIN (FIASP), PER 5 UNITS"
"52527","89","3","21","Insulin via insulin pump (lyumjev)","2023-08-20 00:00:00","","Apparent on its Face","J1813","100","2025-12-26 14:14:25","Lyumjev for insulin pump use","INSULIN (LYUMJEV) FOR ADMINISTRATION THROUGH DME (I.E., INSULIN PUMP) PER 50 UNITS"
"52527","89","3","22","Inj. insulin (lyumjev) 
U-100 and U-200
 *Note: If being administered IV use modifier “JA”; if administered subcutaneously use modifier “JB” (subcutaneous injection is considered self-administered)","2023-08-13 00:00:00","","Apparent on its Face","J1814","100","2025-12-26 14:14:25","Inj. insulin (lyumjev)","INSULIN (LYUMJEV), PER 5 UNITS"
