article_id,article_version,hcpc_code_group,"paragraph",last_updated
52369,16,1,"",2025-12-22 15:54:37.497000000
52370,128,1,"<p>Effective 01/01/2026, HCPCS code Q5160 should be used to report bevacizumab-nwgd (jobevneTM), 10mg</p>
<p>Effective 04/01/2023, HCPCS code Q5129 should be used to report bevacizumab-adcd (Vegzelma&#174;). Effective 09/27/2022 through 03/31/2023 HCPCS code J3590 should be reported.<span style=""line-height: 107%;""><br /></span></p>
<p style=""line-height: normal;"">Effective 01/01/2023, HCPCS code Q5126 should be reported for bevacizumab-maly, biosimilar, (ALYMSYS1&#174;), 10 mg. Effective 10/01/2022 through 12/31/2022, HCPCS code C9142 Injection, bevacizumab-maly, biosimilar, (ALYMSYS&#174;), 10 mg has been added for services billed to the Part A MAC. HCPCS code J3590 should be reported for the Part B MAC.</p>
<p style=""line-height: normal;"">HCPCS code C9142, C9257, Q5107, Q5118 or Q5126 should be reported for treatment of approved ophthalmologic indications billed to the Part A MAC.<br /><br />HCPCS code C9142, J9035, Q5107, Q5118 or Q5126 (bill one unit per eye) should be reported for the treatment of approved ophthalmologic indications billed to the Part B MAC.</p>",2025-12-22 14:31:54.663000000
52370,128,2,"<p><u>Intravitreal injection code </u></p>",2025-12-22 14:31:54.693000000
52379,9,1,"",2023-11-17 21:59:58.660000000
52399,65,1,"",2025-12-22 14:12:37.690000000
52420,63,1,"<p>Effective for dates of service on or after 04/01/2021, HCPCS code J7321 should be used to report Visco-3&trade;.</p>
<p>Report&nbsp;HCPCS code C9465 for&nbsp;Durolane&reg; when billed to the Part A MAC and HCPCS code J3490&nbsp;when billed to the Part B MAC for dates of service prior to 01/01/2019.</p>
<p>For dates of service on or after 10/01/2019 HCPCS code J7331 should be used to report Synojoynt&trade;.</p>
<p>For dates of service on or after 10/01/2019 HCPCS code J7332 should be used to report Triluron&trade;.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>",2025-12-22 14:16:58.730000000
52420,63,2,"<p><u>Injection procedure codes</u></p>",2025-12-22 14:16:58.770000000
52421,22,1,"",2023-09-22 19:00:52.507000000
52423,83,1,"<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>",2024-09-19 20:53:55.090000000
52430,12,1,"",2025-11-26 22:23:51.150000000
52432,14,1,"",2023-11-07 17:38:39.787000000
52434,50,1,"<p>CPT codes 96170, 96171 are not covered services.</p>",2024-09-20 16:59:09.357000000
52435,14,1,"",2025-11-26 22:25:16.797000000
52437,17,1,"",2025-11-26 22:26:52.073000000
52438,22,1,"",2025-09-18 20:45:40.897000000
52447,29,1,"",2021-09-24 13:06:32.693000000
52448,23,1,"",2025-09-17 14:20:33.040000000
52450,80,1,"<p>Effective for dates of service from 7/1/2023 through 12/31/2024, HCPCS code J9259 should be used to report Injection, paclitaxel protein-bound particles (American regent).<span style=""line-height: 107%;""><br /><br /></span></p>
<p><span style=""line-height: 107%;""><br /><br /></span></p>",2025-01-03 21:17:08.523000000
52451,81,1,"<p>Effective for dates of service 04/01/2024, HCPCS code J0177 should be used to report aflibercept HD for Part A and B services. For services performed 8/18/2023 through 1/1/2024, aflibercept HD should be reported using HCPCS codes J3490, J3590, C9161 or C9399 for Part A and Part B services.</p>
<p style=""line-height: normal;"">Effective for dates of service 10/01/2022, HCPCS code J2777 should be used to report Faricimab-svoa (Vabysmo&#8482;) for Part A and Part B services. Effective for dates of service 07/01/2022 through 09/30/2022, HCPCS code C9097 should be used to report Faricimab-svoa (Vabysmo&#8482;) for Part A services. For dates of service 01/28/2022 through 06/30/2022, HCPCS code J3590 should be used to report Faricimab-svoa (Vabysmo&#8482;) for Part A services.</p>
<p style=""line-height: normal;""><span style=""line-height: 107%;"">Effective for dates of service 1/28/2022 </span>through 09/30/2022, <span style=""line-height: 107%;"">HCPCS code J3590 should be used to report Faricimab-svoa (Vabysmo&#8482;) for Part B services.<br /></span></p>
<p>Effective 04/01/2023, HCPCS code Q5128 should be used to report Ranibizumab-eqrn (CIMERLI&#8482;). Effective for dates of service on or after 08/02/2022 through 03/31/2023, HCPCS codes J3490, J3590 or C9399 should be used to report Ranibizumab-eqrn (CIMERLI&#8482;) for Part A and Part B services.&#160;</p>
<p style=""line-height: normal;"">Effective for dates of service 4/1/2022 HCPCS code Q5124 should be used to report ranibizumab-nuna, biosimilar, (Byooviz). For dates of service 9/17/2021 through 3/31/2022 HCPCS code J3590 should be used to report ranibizumab-nuna, biosimilar, (Byooviz).<span style=""line-height: 107%;"">&#160;</span></p>
<p>Effective 10/30/2024 PAVBLU (aflibercept-ayyh) should be reported using HCPCS codes J3490, J3590 for Part B services, or C9399 for Part A services through 3/31/2025. Effective 4/1/2025, PAVBLU (aflibercept-ayyh) should be reported using HCPCS code Q5147.</p>
<p>Effective 4/1/2025,&#160;AHZANTIVE&#174; (aflibercept-mrbb) should be reported using HCPCS code Q5150.</p>
<p>Effective 4/1/2025,&#160;ENZEEVU&#8482; (aflibercept-abzv) should be reported using HCPCS code Q5149.</p>
<p>Effective 7/1/2025, OPUVIZ&#8482;aflibercept-yszy should be reported using HCPCS code Q5153.</p>
<p>Effective 10/1/2025 YESAFILI&#8482;aflibercept-jbvf should be reported using HCPCS code Q5155.</p>",2026-01-16 17:33:10.263000000
52451,81,2,"<p><u>Intravitreal injection code</u></p>",2026-01-16 17:33:10.367000000
52451,81,3,"<p>Via SUSVIMO drug implant only</p>",2026-01-16 17:33:10.380000000
52453,48,1,"<p>Effective for dates of service on or after 01/01/2023, leuprolide acetate for depot suspension (Lutrate) should be reported with HCPCS code J1954.<br /><br />Effective for dates of service on or after 01/01/2022, leuprolide mesylate (Camcevi&reg;), should be reported with HCPCS code J1952.</p>
<p>Effective for dates of service 5/26/2021 through 12/31/2021, leuprolide mesylate (Camcevi&reg;), should be reported with HCPCS code J3590.</p>
<p>CPT Code J9218 is not covered under Medicare because it is self-administered.</p>",2025-09-17 14:17:03.123000000
52457,63,1,"",2025-03-25 17:40:40.493000000
52458,36,1,"",2025-08-27 17:26:45.227000000
52459,23,1,"",2022-04-07 21:36:30.163000000
52460,16,1,"",2022-04-07 21:37:19.480000000
52461,21,1,"",2022-04-07 21:38:51.473000000
52462,32,1,"",2025-09-11 13:46:37.753000000
52463,32,1,"",2025-09-11 13:48:26.473000000
52464,62,1,"",2025-02-06 13:53:54.590000000
52465,70,1,"",2025-12-04 17:54:13.277000000
52466,80,1,"",2025-12-11 16:29:53.330000000
52467,54,1,"",2024-05-08 15:56:44.013000000
52468,22,1,"",2022-04-07 21:44:53.017000000
52469,28,1,"",2024-10-09 18:19:00.987000000
52470,18,1,"",2025-07-29 21:07:59.653000000
52474,40,1,"",2025-09-12 13:35:43.240000000
52476,27,1,"",2022-04-07 14:02:29.980000000
52477,16,1,"",2022-04-07 14:09:34.460000000
52478,26,1,"",2025-10-03 15:02:26.177000000
52479,73,1,"",2025-12-31 13:50:29.867000000
52480,90,1,"",2025-12-31 14:02:24.090000000
52481,30,1,"",2025-03-27 12:56:19.103000000
52487,33,1,"",2025-04-03 16:17:00.633000000
52489,24,1,"",2022-04-07 14:19:18.920000000
52490,27,1,"",2022-04-07 14:19:58.820000000
52492,20,1,"",2022-04-07 14:21:36.677000000
52494,63,1,"<p><span style=""line-height: 115%;"">&nbsp;</span></p>",2025-09-11 14:03:15.467000000
52495,18,1,"",2022-04-07 16:51:16.627000000
52496,59,1,"",2025-10-14 16:31:09.353000000
52497,35,1,"",2024-06-05 19:22:53.533000000
52498,61,1,"",2025-10-23 16:57:11.417000000
52499,23,1,"",2022-05-18 17:35:40.333000000
52500,44,1,"",2025-03-25 17:51:12.003000000
52501,47,1,"",2024-11-26 12:52:36.080000000
52502,20,1,"",2022-04-07 16:49:20.087000000
52503,26,1,"",2025-10-23 17:00:08.390000000
52504,59,1,"",2025-10-23 17:20:27.977000000
52505,77,1,"",2025-09-23 19:55:53.020000000
52507,151,1,"",2025-12-04 13:55:40.523000000
52508,39,1,"",2022-04-07 12:33:09.437000000
52509,61,1,"",2025-05-15 19:51:54.930000000
52510,61,1,"",2025-09-12 13:51:39.003000000
52511,28,1,"",2022-04-07 12:40:02.103000000
52512,46,1,"",2024-05-09 18:55:43.097000000
52513,43,1,"",2024-09-05 18:55:51.450000000
52514,61,1,"<p>N/A</p>",2024-05-09 18:59:28.417000000
52516,26,1,"",2023-09-20 13:41:37.443000000
52517,50,1,"",2025-10-03 14:40:04.770000000
52518,36,1,"",2023-05-11 16:30:31.903000000
52519,39,1,"",2024-05-09 18:57:25.583000000
52520,31,1,"",2022-11-11 14:43:17.447000000
52521,51,1,"",2025-11-07 15:43:06.993000000
52535,13,1,"",2025-07-31 18:29:50.953000000
52537,11,1,"",2023-12-29 17:39:23.173000000
52711,22,1,"",2022-04-07 21:46:31.147000000
