article_id,article_version,icd10_covered_group,"paragraph",last_updated,"icd10_covered_ast"
52369,16,1,"",2025-12-22 15:54:37.523000000,""
52370,128,1,"<p>Effective 01/01/2026, HCPCS code Q5160 should be used to report bevacizumab-nwgd (jobevneTM).</p>
<p>Effective 04/01/2023, HCPCS code Q5129 should be used to report bevacizumab-adcd (Vegzelma&#174;). Effective 09/27/2022 through 03/31/2023 HCPCS code J3590 should be reported.<span style=""line-height: 107%;""><br /></span></p>
<p>HCPCS code C9142*, J9035, Q5107, Q5118, Q5126 or Q5129 and the ICD-10-CM codes listed below should be reported for non-ophthalmologic indications.</p>
<p>*C9142 is being deleted 12/31/2022 and being replaced with HCPCS code Q5126</p>
<p>ICD-10-CM code I67.89 should be used to report symptomatic post-radiation necrosis of the central nervous system.<span style=""line-height: 107%;""><br /></span></p>",2025-12-22 14:31:54.710000000,"<p>*ICD-10-CM code G96.89 must be billed with ICD-10-CM code T66.XXXA, T66.XXXD or T66.XXXS.<span style=""line-height: 107%;""><br /><br /></span></p>"
52370,128,2,"<p>Effective 01/01/2026, HCPCS code Q5160 should be used to report bevacizumab-nwgd (jobevneTM).</p>
<p style=""line-height: normal;"">HCPCS code C9142*, C9257, Q5107, Q5118, Q5126 or Q5129 and the ICD-10-CM codes listed below should be reported for treatment of approved ophthalmologic indications billed to the Part A MAC.<br /><br />HCPCS code C9142*, J9035, Q5107, Q5118, Q5126 or Q5129 (bill one unit per eye) should be reported for treatment of approved ophthalmologic indications billed to the Part B MAC.<br />*C9142 is being deleted 12/31/2022 and being replaced with HCPCS code Q5126</p>
<p><br /><br /></p>",2025-12-22 14:31:55.120000000,""
52379,9,1,"",2023-11-17 21:59:58.670000000,""
52399,65,1,"<p>Effective 10/1/2025, Demosumab-bmwo (Stoboclo&#174;/Osenvelt&#174;) should be reported using HCPCS code Q5157</p>
<p>Effective 10/1/2025, Demosumab-bnht (Bomyntra/Conexxence) should be reported using HCPCS code Q5158</p>
<p>Effective 10/1/2025, Denosumab (Prolia&#174;, Xgeva&#174;) should be reported using HCPCS J0897</p>
<p>Effective 10/1/2025, Denosumab-bbdz (Jubbonti&#174;, Wyost&#174;) should be reported using HCPCS Q5136</p>
<p>For the treatment of patients with bone metastases from solid tumors. Note: multiple myeloma, lymphoma and other cancers of the blood are not considered solid tumors). Effective for dates of service on or after 01/04/2018, the FDA has approved denosumab (Xgeva&#174;) for the treatment of skeletal-related events in patients with multiple myeloma. <br /><br />ICD-10-CM code E83.52 should be used to report management of hypercalcemia of malignancy.</p>",2025-12-22 14:12:37.717000000,""
52399,65,2,"<p><strong>Treatment of osteoporosis at high risk for fracture</strong><br /><br /></p>
<p>Effective 10/1/2025, Demosumab-bmwo (Stoboclo/ Osenvelt) should be reported using HCPCS code Q5157</p>
<p>Effective 10/1/2025, Demosumab-dssb (Ospomyv, Xbryk) should be reported using HCPCS code Q5159</p>
<p>Effective 10/1/2025, Denosumab (Prolia&#174;, Xgeva&#174;) should be reported using HCPCS J0897</p>
<p>Effective 10/1/2025, Denosumab-bbdz (Jubbonti&#174;, Wyost&#174;) should be reported using HCPCS Q5136</p>",2025-12-22 14:12:37.813000000,""
52399,65,3,"<p>For beneficiaries who have failed or are intolerant to other available osteoporosis therapy, <strong>at least one ICD-10-CM code from Group 3 and Group 4 must be billed.<br /><br />Codes indicating a diagnosis of osteoporosis</strong> <br /><br /></p>
<p>Effective 10/1/2025, Denosumab (Prolia&#174;, Xgeva&#174;) should be reported using HCPCS J0897</p>
<p>Effective 10/1/2025, Denosumab-bbdz (Jubbonti&#174;, Wyost&#174;) should be reported using HCPCS Q5136</p>",2025-12-22 14:12:37.930000000,""
52399,65,4,"<p><strong>For Intolerance to other available osteoporosis therapy</strong></p>
<p>Effective 10/1/2025, Denosumab (Prolia&#174;, Xgeva&#174;) should be reported using HCPCS J0897</p>
<p>Effective 10/1/2025, Denosumab-bbdz (Jubbonti&#174;, Wyost&#174;) should be reported using HCPCS Q5136</p>",2025-12-22 14:12:38.063000000,""
52399,65,5,"<p>As a treatment to increase bone mass in men at high risk for fracture receiving androgen deprivation therapy for nonmetastatic prostate cancer. <strong>An ICD-10-CM code from Group 5, Group 6 and Group 7 must be reported.</strong></p>
<p>Effective 10/1/2025, Demosumab-bmwo (Stoboclo/ Osenvelt) should be reported using HCPCS code Q5157</p>
<p>Effective 10/1/2025, Demosumab-dssb (Ospomyv, Xbryk) should be reported using HCPCS code Q5159</p>
<p>Effective 10/1/2025, Denosumab (Prolia&#174;, Xgeva&#174;) should be reported using HCPCS J0897</p>
<p>Effective 10/1/2025, Denosumab-bbdz (Jubbonti&#174;, Wyost&#174;) should be reported using HCPCS Q5136</p>",2025-12-22 14:12:38.090000000,""
52399,65,6,"<p>Effective 10/1/2025, Denosumab (Prolia&#174;, Xgeva&#174;) should be reported using HCPCS J0897</p>
<p>Effective 10/1/2025, Denosumab-bbdz (Jubbonti&#174;, Wyost&#174;) should be reported using HCPCS Q5136</p>",2025-12-22 14:12:38.233000000,""
52399,65,7,"<p>Effective 10/1/2025, Denosumab (Prolia&#174;, Xgeva&#174;) should be reported using HCPCS J0897</p>
<p>Effective 10/1/2025, Denosumab-bbdz (Jubbonti&#174;, Wyost&#174;) should be reported using HCPCS Q5136</p>",2025-12-22 14:12:38.247000000,""
52399,65,8,"<p>Effective 10/1/2025, Demosumab-bmwo (Stoboclo/ Osenvelt) should be reported using HCPCS code Q5157</p>
<p>Effective 10/1/2025, Demosumab-dssb (Ospomyv, Xbryk) should be reported using HCPCS code Q5159</p>
<p>Effective 10/1/2025, Denosumab (Prolia&#174;, Xgeva&#174;) should be reported using HCPCS J0897</p>
<p>Effective 10/1/2025, Denosumab-bbdz (Jubbonti&#174;, Wyost&#174;) should be reported using HCPCS Q5136</p>
<p>As a treatment to increase bone mass in women at high risk for fracture receiving adjuvant aromatase inhibitor therapy for breast cancer. <strong>An ICD-10-CM code from Group 8, Group 9 and Group 10 must be reported. </strong></p>",2025-12-22 14:12:38.263000000,""
52399,65,9,"<p>Effective 10/1/2025, Denosumab (Prolia&#174;, Xgeva&#174;) should be reported using HCPCS J0897</p>
<p>Effective 10/1/2025, Denosumab-bbdz (Jubbonti&#174;, Wyost&#174;) should be reported using HCPCS Q5136</p>",2025-12-22 14:12:38.400000000,""
52399,65,10,"<p>Effective 10/1/2025, Denosumab (Prolia&#174;, Xgeva&#174;) should be reported using HCPCS J0897</p>
<p>Effective 10/1/2025, Denosumab-bbdz (Jubbonti&#174;, Wyost&#174;) should be reported using HCPCS Q5136</p>",2025-12-22 14:12:38.487000000,""
52399,65,11,"<p>Effective 10/1/2025, Demosumab-bnht (Bomyntra/Conexxence) should be reported using HCPCS code Q5158</p>
<p>Effective 10/1/2025, Denosumab (Prolia&#174;, Xgeva&#174;) should be reported using HCPCS J0897</p>
<p>Effective 10/1/2025, Denosumab-bbdz (Jubbonti&#174;, Wyost&#174;) should be reported using HCPCS Q5136</p>
<p>For the treatment of adults and skeletally mature adolescents with giant cell tumor of bone that is unresectable or where surgical resection is likely to result in severe morbidity.</p>",2025-12-22 14:12:38.507000000,""
52420,63,1,"",2025-12-22 14:16:58.787000000,""
52421,22,1,"<p>The following are stand-alone diagnosis codes</p>",2023-09-22 19:00:52.517000000,""
52421,22,2,"<p><b>Esophagitis or intolerance preventing oral therapy<br /><br />At least one ICD-10-CM code from Group 2 and Group 3 must be billed.<br /><br />Codes indicating a diagnosis of osteoporosis </b></p>",2023-09-22 19:00:52.550000000,""
52421,22,3,"<p><b>Codes indicating a diagnosis of severe esophagitis or intolerance to oral ibandronate therapy </b></p>",2023-09-22 19:00:52.620000000,""
52421,22,4,"<p>For management of female patients with postmenopausal osteopenia.<br /><br /><b>One ICD-10-CM code from Group 4 and one from Group 5 must be billed.</b> </p>",2023-09-22 19:00:52.640000000,""
52421,22,5,"",2023-09-22 19:00:52.657000000,""
52423,83,1,"<p>The following ICD-10-CM codes should be reported for Crohn&rsquo;s disease with or without fistulizing complications; and for ulcerative colitis.</p>",2024-09-19 20:53:55.113000000,""
52423,83,2,"<p>The following ICD-10-CM codes should be reported for reductions of signs and symptoms of rheumatoid arthritis in patients who have had inadequate response to methotrexate.</p>",2024-09-19 20:53:55.130000000,""
52423,83,3,"<p>The following ICD-10-CM codes should be reported for other conditions for which patients have failed to respond to standard pharmacologic therapy. <br /><br /></p>",2024-09-19 20:53:55.197000000,"<p>*K52.89 should be reported to indicate microscopic colitis.</p>
<p style=""line-height: normal;"">*M35.81 must be billed with ICD-10 code Z20.822 to report multisystem inflammatory syndrome in children post SARS-CoV-2 infection</p>
<p style=""line-height: normal;"">&nbsp;</p>"
52423,83,4,"<p>For the treatment of pyoderma gangrenosum with coexisting inflammatory bowel disease which may be described by regional enteritis, ulcerative colitis, or pseudopolyposis of the colon. <strong>A diagnosis from Group 4 and one from Group 5 must be reported. </strong> <br /><br /></p>",2024-09-19 20:53:55.277000000,""
52423,83,5,"",2024-09-19 20:53:55.287000000,""
52430,12,1,"",2025-11-26 22:23:51.163000000,""
52432,14,1,"",2023-11-07 17:38:39.800000000,""
52434,50,1,"",2024-09-20 16:59:09.480000000,""
52435,14,1,"",2025-11-26 22:25:16.823000000,""
52437,17,1,"",2025-11-26 22:26:52.113000000,""
52438,22,1,"",2025-09-18 20:45:40.923000000,""
52447,29,1,"<p>Primary ICD-10-CM Code</p>",2021-09-24 13:06:32.697000000,""
52447,29,2,"<p>Secondary ICD-10-CM Codes<br /><br /></p>",2021-09-24 13:06:32.703000000,""
52448,23,1,"",2025-09-17 14:20:33.057000000,""
52450,80,1,"<p><u><strong>The following ICD-10-CM codes are payable&nbsp;for albumin-bound paclitaxel only.</strong></u> ICD-10-CM codes T45.0X5A-T45.0X5S, T45.1X5A-T45.1X5S, T47.7X5A-T47.7X5S or T50.995A-T50.995S should only be added to claims to indicate that the patient experienced hypersensitivity reactions after receiving paclitaxel or docetaxel despite premedication or for patients in whom standard hypersensitivity premedications are contraindicated. <br /><br /></p>",2025-01-03 21:17:08.543000000,""
52450,80,2,"<p><u><strong>The following ICD-10-CM codes are payable&nbsp;for paclitaxel only.</strong></u><br /><br /></p>",2025-01-03 21:17:08.877000000,""
52451,81,1,"<p style=""line-height: normal;""><strong>Ranibizumab and biosimilars ranibizumab-nuna and ranibizumab-eqrn</strong><br /><strong><span style=""line-height: 107%;""><br /></span></strong>HCPCS Codes <strong>Q5124, Q5128, Q5155,</strong> <strong>J0177, J2778 </strong>should be reported with the ICD-10-CM codes in Group 1 below.&#160;</p>
<p style=""line-height: normal;"">&#160;</p>
<p><br /><br /></p>",2026-01-16 17:33:10.400000000,""
