article_id,article_version,icd10_noncovered_group,"paragraph",last_updated
52369,16,1,"<p>For CPT codes 29999, 29877, G0289 that are performed for nationally non-covered indications please report the ICD-10-CM codes below for osteoarthritis or knee pain and append the &#8211;GA or &#8211;GZ modifier as applicable</p>",2025-12-22 15:54:37.533000000
52370,128,1,"",2025-12-22 14:31:55.603000000
52379,9,1,"<p><strong>There are no diagnoses for which this service is covered. The following diagnoses are identified herein to emphasize that we have specifically considered them and have determined that this service is not covered for them.</strong></p>
<p>When billing CPT code 87641 for screening purposes (statutorily non-covered), ICD-10-CM codes, including but not limited to those listed below, may be reported. The &ndash;GY modifier should be reported, as applicable.<br />Group 1: Codes</p>",2023-11-17 21:59:58.677000000
52399,65,1,"",2025-12-22 14:12:38.550000000
52420,63,1,"",2025-12-22 14:16:58.847000000
52421,22,1,"",2023-09-22 19:00:52.670000000
52423,83,1,"",2024-09-19 20:53:55.297000000
52430,12,1,"",2025-11-26 22:23:51.167000000
52432,14,1,"",2023-11-07 17:38:39.927000000
52434,50,1,"",2024-09-20 16:59:09.480000000
52435,14,1,"<p>Any diagnosis not listed in the ""ICD-10 Codes That Support Medical Necessity"" section.</p>",2025-11-26 22:25:16.863000000
52437,17,1,"",2025-11-26 22:26:52.120000000
52438,22,1,"",2025-09-18 20:45:45.443000000
52447,29,1,"",2021-09-24 13:06:32.713000000
52448,23,1,"",2025-09-17 14:20:33.123000000
52450,80,1,"",2025-01-03 21:17:10.247000000
52451,81,1,"",2026-01-16 17:33:13.290000000
52453,48,1,"",2025-09-17 14:17:07.550000000
52457,63,1,"<p>For the specific HCPCS codes indicated above, all ICD-10 codes that are not specified in the preceding section. For all other HCPCS codes, diagnoses are not specified.</p>",2025-03-25 17:40:40.630000000
52458,36,1,"<p>All ICD-10 codes that are not specified in the previous section.</p>",2025-08-27 17:26:45.670000000
52459,23,1,"",2022-04-07 21:36:30.220000000
52460,16,1,"",2022-04-07 21:37:19.487000000
52461,21,1,"",2022-04-07 21:38:51.480000000
52462,32,1,"",2025-09-11 13:46:37.773000000
52463,32,1,"",2025-09-11 13:48:26.507000000
52464,62,1,"<p>All ICD-10 codes that are specified in the previous section.</p>",2025-02-06 13:53:56.030000000
52465,70,1,"<p><span style=""line-height: 115%;"">For the specific HCPCS codes indicated above, all ICD-10 codes that are not specified in the previous section.</span></p>",2025-12-04 17:54:32.663000000
52466,80,1,"<p>For the specific HCPCS codes indicated above, all ICD-10 codes that are not specified in the previous section.<br /><br />For HCPCS codes A7009, E0575, J7604, J7607, J7609, J7610, J7615, J7622, J7624, J7627, J7628, J7629, J7632, J7634, J7635, J7636, J7637, J7638, J7640, J7641, J7642, J7643, J7645, J7647, J7650, J7657, J7660, J7667, J7670, J7676, J7680, J7681, J7683, J7684, and J7685, all ICD-10 codes.<br /><br />For all other HCPCS codes, ICD-10 codes are not specified.</p>",2025-12-11 16:30:49.380000000
52467,54,1,"<p>All ICD-10 codes that are not specified in the preceding section.</p>",2024-05-08 15:56:44.047000000
52468,22,1,"<p>All ICD-10 codes that are not specified in the preceding section.</p>",2022-04-07 21:44:53.100000000
52469,28,1,"",2024-10-09 18:19:01.017000000
52470,18,1,"",2025-07-29 21:07:59.710000000
52474,40,1,"<p>All diagnoses that are not specified in the section ICD-10 Codes that are Covered. <br /></p>",2025-09-12 13:35:43.410000000
52476,27,1,"",2022-04-07 14:02:30.017000000
52477,16,1,"",2022-04-07 14:09:34.507000000
52478,26,1,"<p><span style=""line-height: 107%;"">All ICD-10 codes and diagnoses that are not specified in the preceding section. </span></p>",2025-10-03 15:02:26.363000000
52479,73,1,"<p>All codes not listed in the previous section.</p>",2025-12-31 13:50:40.550000000
52480,90,1,"<p>All codes not listed in the previous section.</p>",2025-12-31 14:02:27.010000000
52481,30,1,"<p>For the specific HCPCS code indicated above, all ICD-10 codes that are not specified in the previous section. <br /> <br /> For all other HCPCS codes, ICD-10 codes are not specified.</p>",2025-03-27 12:56:19.380000000
52487,33,1,"<p>For all HCPCS codes except A4331, A4364, A4402, A4450, A4452, A4455, A4456, A5102, A5120. All ICD-10 codes that are not specified in the previous section.</p>",2025-04-03 16:17:00.693000000
52489,24,1,"",2022-04-07 14:19:18.927000000
52490,27,1,"<p>All ICD-10 codes that are not specified in the previous section.</p>",2022-04-07 14:19:58.917000000
52492,20,1,"All codes that are not specified in the previous section. <br />",2022-04-07 14:21:36.797000000
52494,63,1,"<p>All ICD-10 codes that are not specified in the previous section.</p>",2025-09-11 14:03:16.003000000
52495,18,1,"",2022-04-07 16:51:16.723000000
52496,59,1,"",2025-10-14 16:31:09.370000000
52497,35,1,"",2024-06-05 19:22:53.547000000
52498,61,1,"",2025-10-23 16:57:11.430000000
52499,23,1,"",2022-05-18 17:35:40.440000000
52500,44,1,"",2025-03-25 17:51:12.020000000
52501,47,1,"",2024-11-26 12:52:37.430000000
52502,20,1,"",2022-04-07 16:49:20.337000000
52503,26,1,"",2025-10-23 17:00:08.400000000
52504,59,1,"",2025-10-23 17:20:28.043000000
52505,77,1,"",2025-09-23 19:55:53.037000000
52507,151,1,"<p><span style=""line-height: 107%;"">For the specific HCPCS codes indicated above, all ICD-10 codes that are not specified in the previous section.</span></p>
<p><span style=""line-height: 107%;"">For all other HCPCS codes, ICD-10 codes are not specified.</span></p>",2025-12-04 13:55:41.797000000
52508,39,1,"",2022-04-07 12:33:09.480000000
52509,61,1,"<p>All codes not listed in the previous section.</p>",2025-05-15 19:51:55.510000000
