"article_id","article_version","last_updated","icd10_pcs_code_group","paragraph"
"52369","16","2025-12-22 15:54:37.577000000","1",""
"52370","128","2025-12-22 14:31:55.610000000","1",""
"52379","9","2023-11-17 21:59:58.697000000","1",""
"52399","65","2025-12-22 14:12:38.553000000","1",""
"52420","63","2025-12-22 14:16:58.850000000","1",""
"52421","22","2023-09-22 19:00:52.670000000","1",""
"52423","83","2024-09-19 20:53:55.300000000","1",""
"52430","12","2025-11-26 22:23:51.173000000","1",""
"52432","14","2023-11-07 17:38:39.930000000","1",""
"52434","50","2024-09-20 16:59:11.213000000","1",""
"52435","14","2025-11-26 22:25:16.870000000","1",""
"52437","17","2025-11-26 22:26:52.123000000","1",""
"52438","22","2025-09-18 20:45:45.450000000","1",""
"52447","29","2021-09-24 13:06:32.717000000","1",""
"52448","23","2025-09-17 14:20:33.127000000","1",""
"52450","80","2025-01-03 21:17:10.250000000","1",""
"52451","81","2026-01-16 17:33:13.297000000","1",""
"52453","48","2025-09-17 14:17:07.557000000","1",""
"52457","63","2025-03-25 17:40:40.637000000","1",""
"52458","36","2025-08-27 17:26:45.680000000","1",""
"52459","23","2022-04-07 21:36:30.263000000","1",""
"52460","16","2022-04-07 21:37:19.490000000","1",""
"52461","21","2022-04-07 21:38:51.543000000","1",""
"52462","32","2025-09-11 13:46:37.780000000","1",""
"52463","32","2025-09-11 13:48:26.523000000","1",""
"52464","62","2025-02-06 13:53:56.040000000","1",""
"52465","70","2025-12-04 17:54:32.707000000","1",""
"52466","80","2025-12-11 16:30:49.443000000","1",""
"52467","54","2024-05-08 15:56:44.053000000","1",""
"52468","22","2022-04-07 21:44:53.100000000","1",""
"52469","28","2024-10-09 18:19:01.037000000","1",""
"52470","18","2025-07-29 21:07:59.717000000","1",""
"52474","40","2025-09-12 13:35:43.420000000","1",""
"52476","27","2022-04-07 14:02:30.073000000","1",""
"52477","16","2022-04-07 14:09:34.527000000","1",""
"52478","26","2025-10-03 15:02:26.373000000","1",""
"52479","73","2025-12-31 13:50:40.557000000","1",""
"52480","90","2025-12-31 14:02:27.020000000","1",""
"52481","30","2025-03-27 12:56:19.390000000","1",""
"52487","33","2025-04-03 16:17:00.700000000","1",""
"52489","24","2022-04-07 14:19:18.930000000","1",""
"52490","27","2022-04-07 14:19:58.920000000","1",""
"52492","20","2022-04-07 14:21:36.813000000","1",""
"52494","63","2025-09-11 14:03:16.020000000","1",""
"52495","18","2022-04-07 16:51:16.767000000","1",""
"52496","59","2025-10-14 16:31:09.380000000","1",""
"52497","35","2024-06-05 19:22:53.557000000","1",""
"52498","61","2025-10-23 16:57:11.440000000","1",""
"52499","23","2022-05-18 17:35:40.460000000","1",""
"52500","44","2025-03-25 17:51:12.027000000","1",""
"52501","47","2024-11-26 12:52:37.440000000","1",""
"52502","20","2022-04-07 16:49:20.460000000","1",""
"52503","26","2025-10-23 17:00:08.407000000","1",""
"52504","59","2025-10-23 17:20:28.077000000","1",""
"52505","77","2025-09-23 19:55:53.043000000","1",""
"52507","151","2025-12-04 13:55:41.807000000","1",""
"52508","39","2022-04-07 12:33:09.500000000","1",""
"52509","61","2025-05-15 19:51:55.537000000","1",""
"52510","61","2025-09-12 13:51:39.180000000","1",""
"52511","28","2022-04-07 12:40:02.113000000","1",""
"52512","46","2024-05-09 18:55:43.140000000","1",""
"52513","43","2024-09-05 18:55:51.480000000","1",""
"52514","61","2024-05-09 18:59:28.450000000","1",""
"52516","26","2023-09-20 13:41:37.450000000","1",""
"52517","50","2025-10-03 14:40:04.797000000","1",""
