"article_id","article_version","revenue_code_id","revenue_code_version","range","last_updated","description"
"52369","16","0360","15","X","2025-12-22 15:54:37.440000000","Operating Room Services - General Classification"
"52369","16","0361","15","Y","2025-12-22 15:54:37.443000000","Operating Room Services - Minor Surgery"
"52369","16","0362","15","Y","2025-12-22 15:54:37.447000000","Operating Room Services - Organ Transplant - Other than Kidney"
"52369","16","0367","15","Y","2025-12-22 15:54:37.450000000","Operating Room Services - Kidney Transplant"
"52369","16","0369","15","Z","2025-12-22 15:54:37.450000000","Operating Room Services - Other OR Services"
"52369","16","0490","15","X","2025-12-22 15:54:37.453000000","Ambulatory Surgical Care - General Classification"
"52369","16","0499","15","Z","2025-12-22 15:54:37.457000000","Ambulatory Surgical Care - Other Ambulatory Surgical Care"
"52369","16","0760","15","X","2025-12-22 15:54:37.460000000","Specialty Services - General Classification"
"52369","16","0761","15","Y","2025-12-22 15:54:37.460000000","Specialty Services - Treatment Room"
"52369","16","0762","15","Y","2025-12-22 15:54:37.463000000","Specialty Services - Observation Hours"
"52369","16","0769","15","Z","2025-12-22 15:54:37.467000000","Specialty Services - Other Specialty Services"
"52369","16","0960","15","X","2025-12-22 15:54:37.470000000","Professional Fees - General Classification"
"52369","16","0961","15","Y","2025-12-22 15:54:37.470000000","Professional Fees - Psychiatric"
"52369","16","0962","15","Y","2025-12-22 15:54:37.477000000","Professional Fees - Ophthalmology"
"52369","16","0963","15","Y","2025-12-22 15:54:37.477000000","Professional Fees - Anesthesiologist (MD)"
"52369","16","0964","15","Y","2025-12-22 15:54:37.480000000","Professional Fees - Anesthetist (CRNA)"
"52369","16","0969","15","Z","2025-12-22 15:54:37.483000000","Professional Fees - Other Professional Fee"
"52369","16","0975","15","N","2025-12-22 15:54:37.487000000","Professional Fees - Operating Room"
"52369","16","0982","15","N","2025-12-22 15:54:37.493000000","Professional Fees - Outpatient Services"
"52430","12","99999","15","N","2025-11-26 22:23:51.143000000","Not Applicable"
"52432","14","0982","15","N","2023-11-07 17:38:39.783000000","Professional Fees - Outpatient Services"
"52432","14","0983","15","N","2023-11-07 17:38:39.783000000","Professional Fees - Clinic"
"52432","14","0962","15","N","2023-11-07 17:38:39.780000000","Professional Fees - Ophthalmology"
"52432","14","0960","15","N","2023-11-07 17:38:39.780000000","Professional Fees - General Classification"
"52432","14","0490","15","N","2023-11-07 17:38:39.773000000","Ambulatory Surgical Care - General Classification"
"52432","14","0510","15","N","2023-11-07 17:38:39.777000000","Clinic - General Classification"
"52432","14","0360","15","N","2023-11-07 17:38:39.773000000","Operating Room Services - General Classification"
"52435","14","0516","15","N","2025-11-26 22:25:16.783000000","Clinic - Urgent Care Clinic"
"52435","14","0517","15","N","2025-11-26 22:25:16.787000000","Clinic - Family Practice Clinic"
"52435","14","0531","15","N","2025-11-26 22:25:16.790000000","Osteopathic Services - Osteopathic Therapy"
"52435","14","0983","15","N","2025-11-26 22:25:16.793000000","Professional Fees - Clinic"
"52437","17","0983","15","N","2025-11-26 22:26:52.070000000","Professional Fees - Clinic"
"52437","17","0982","15","N","2025-11-26 22:26:52.070000000","Professional Fees - Outpatient Services"
"52437","17","0960","15","N","2025-11-26 22:26:52.057000000","Professional Fees - General Classification"
"52437","17","0920","15","N","2025-11-26 22:26:52.053000000","Other Diagnostic Services - General Classification"
"52437","17","0969","15","N","2025-11-26 22:26:52.060000000","Professional Fees - Other Professional Fee"
"52437","17","0975","15","N","2025-11-26 22:26:52.067000000","Professional Fees - Operating Room"
"52437","17","0974","15","N","2025-11-26 22:26:52.060000000","Professional Fees - Radiology - Nuclear"
"52437","17","0621","15","N","2025-11-26 22:26:52.040000000","Medical/Surgical Supplies and Devices - Supplies Incident to Radiology"
"52437","17","0622","15","N","2025-11-26 22:26:52.040000000","Medical/Surgical Supplies and Devices - Supplies Incident to Other DX Services"
"52437","17","0623","15","N","2025-11-26 22:26:52.043000000","Medical/Surgical Supplies and Devices - Surgical Dressings"
