article_id,article_version,url_type_id,url_id,"url","url_name",sort_order,last_updated,"url_description"
52369,16,1,1,"http://","",1,2025-12-22 15:54:37.593000000,""
52369,16,2,2,"http://","",2,2025-12-22 15:54:37.597000000,""
52369,16,3,3,"http://","",3,2025-12-22 15:54:37.597000000,""
52369,16,4,4,"http://","",4,2025-12-22 15:54:37.600000000,""
52370,128,1,1,"http://","",1,2025-12-22 14:31:55.620000000,""
52370,128,2,2,"http://","",2,2025-12-22 14:31:55.623000000,""
52370,128,3,3,"http://","",3,2025-12-22 14:31:55.627000000,""
52370,128,4,4,"https://www.accessdata.fda.gov/scripts/cder/daf/","FDA Web site",4,2025-12-22 14:31:55.630000000,""
52379,9,1,1,"http://","",1,2023-11-17 21:59:58.707000000,""
52379,9,2,2,"http://","",2,2023-11-17 21:59:58.710000000,""
52379,9,3,3,"http://","",3,2023-11-17 21:59:58.710000000,""
52379,9,4,4,"http://","",4,2023-11-17 21:59:58.713000000,""
52399,65,1,1,"http://","",1,2025-12-22 14:12:38.567000000,""
52399,65,2,2,"http://","",2,2025-12-22 14:12:38.567000000,""
52399,65,3,3,"http://","",3,2025-12-22 14:12:38.570000000,""
52399,65,4,4,"https://www.accessdata.fda.gov/scripts/cder/daf/","FDA Web site",4,2025-12-22 14:12:38.577000000,""
52420,63,1,1,"http://","",1,2025-12-22 14:16:58.860000000,""
52420,63,2,2,"http://","",2,2025-12-22 14:16:58.863000000,""
52420,63,3,3,"http://","",3,2025-12-22 14:16:58.867000000,""
52420,63,4,4,"https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfPMA/pma.cfm","FDA Premarket Notification Database",4,2025-12-22 14:16:58.870000000,""
52421,22,1,1,"http://","",1,2023-09-22 19:00:52.680000000,""
52421,22,2,2,"http://","",2,2023-09-22 19:00:52.680000000,""
52421,22,3,3,"http://","",3,2023-09-22 19:00:52.683000000,""
52421,22,4,4,"https://www.accessdata.fda.gov/scripts/cder/daf/","FDA Web site",4,2023-09-22 19:00:52.687000000,""
52423,83,1,1,"http://","",1,2024-09-19 20:53:55.310000000,""
52423,83,2,2,"http://","",2,2024-09-19 20:53:55.313000000,""
52423,83,3,3,"http://","",3,2024-09-19 20:53:55.313000000,""
52423,83,4,4,"https://www.accessdata.fda.gov/scripts/cder/daf/","FDA Web site",4,2024-09-19 20:53:55.317000000,""
52430,12,1,1,"http://","",1,2025-11-26 22:23:51.180000000,""
52430,12,2,2,"http://","",2,2025-11-26 22:23:51.183000000,""
52430,12,3,3,"http://","",3,2025-11-26 22:23:51.187000000,""
52430,12,4,4,"http://","",4,2025-11-26 22:23:51.187000000,""
52432,14,1,1,"http://","",1,2023-11-07 17:38:39.937000000,""
52432,14,2,2,"http://","",2,2023-11-07 17:38:39.940000000,""
52432,14,3,3,"http://","",3,2023-11-07 17:38:39.943000000,""
52432,14,4,4,"http://","",4,2023-11-07 17:38:39.947000000,""
52434,50,1,1,"http://","",1,2024-09-20 16:59:11.233000000,""
52434,50,2,2,"http://","",2,2024-09-20 16:59:11.237000000,""
52434,50,3,3,"http://","",3,2024-09-20 16:59:11.240000000,""
52434,50,4,4,"http://","",4,2024-09-20 16:59:11.240000000,""
52435,14,1,1,"http://","",1,2025-11-26 22:25:16.877000000,""
52435,14,2,2,"http://","",2,2025-11-26 22:25:16.880000000,""
52435,14,3,3,"http://","",3,2025-11-26 22:25:16.880000000,""
52435,14,4,4,"http://","",4,2025-11-26 22:25:16.883000000,""
52437,17,1,1,"http://","",1,2025-11-26 22:26:52.133000000,""
52437,17,2,2,"http://","",2,2025-11-26 22:26:52.137000000,""
52437,17,3,3,"http://","",3,2025-11-26 22:26:52.137000000,""
52437,17,4,4,"http://","",4,2025-11-26 22:26:52.140000000,""
52438,22,1,1,"http://","",1,2025-09-18 20:45:45.470000000,""
52438,22,2,2,"http://","",2,2025-09-18 20:45:45.477000000,""
52438,22,3,3,"http://","",3,2025-09-18 20:45:45.477000000,""
52438,22,4,4,"http://","",4,2025-09-18 20:45:45.480000000,""
52447,29,1,1,"http://","",1,2021-09-24 13:06:32.720000000,""
52447,29,2,2,"http://","",2,2021-09-24 13:06:32.723000000,""
52447,29,3,3,"http://","",3,2021-09-24 13:06:32.723000000,""
52447,29,4,4,"http://","",4,2021-09-24 13:06:32.723000000,""
52448,23,1,1,"http://","",1,2025-09-17 14:20:33.140000000,""
52448,23,2,2,"http://","",2,2025-09-17 14:20:33.140000000,""
52448,23,3,3,"http://","",3,2025-09-17 14:20:33.143000000,""
52448,23,4,4,"https://www.accessdata.fda.gov/scripts/cder/daf/","FDA Web site",4,2025-09-17 14:20:33.150000000,""
52450,80,1,1,"http://","",1,2025-01-03 21:17:10.260000000,""
52450,80,2,2,"http://","",2,2025-01-03 21:17:10.263000000,""
52450,80,3,3,"http://","",3,2025-01-03 21:17:10.267000000,""
52450,80,4,4,"https://www.accessdata.fda.gov/scripts/cder/daf/","FDA Web site",4,2025-01-03 21:17:10.270000000,""
52451,81,1,1,"http://","",1,2026-01-16 17:33:13.317000000,""
52451,81,2,2,"http://","",2,2026-01-16 17:33:13.317000000,""
52451,81,3,3,"http://","",3,2026-01-16 17:33:13.320000000,""
52451,81,4,4,"https://www.accessdata.fda.gov/scripts/cder/daf/","FDA Web site",4,2026-01-16 17:33:13.323000000,""
52453,48,1,1,"http://","",1,2025-09-17 14:17:07.567000000,""
52453,48,2,2,"http://","",2,2025-09-17 14:17:07.570000000,""
52453,48,3,3,"http://","",3,2025-09-17 14:17:07.573000000,""
52453,48,4,4,"http://","",4,2025-09-17 14:17:07.573000000,""
52457,63,1,1,"http://","",1,2025-03-25 17:40:40.660000000,""
52457,63,2,2,"http://","",2,2025-03-25 17:40:40.663000000,""
52457,63,3,3,"http://","",3,2025-03-25 17:40:40.667000000,""
52457,63,4,4,"http://","",4,2025-03-25 17:40:40.670000000,""
52458,36,1,1,"http://","",1,2025-08-27 17:26:45.707000000,""
52458,36,2,2,"http://","",2,2025-08-27 17:26:45.710000000,""
