contractor_id,contractor_type_id,contractor_version,"contractor_bus_name","contractor_number",dmerc_rgn,"address1","address2","address3","city",state_id,"zipcode","phone","fax","status",last_updated,"url","email","ignore","status_flag","cmd_name","cmd_title",contractor_subtype_id
139,10,2,"Noridian Healthcare Solutions, LLC","19003",4,"PO Box 6727","","","Fargo",35,"58108-6727","8773200390","","A",2025-07-16 21:37:36.093000000,"https://med.noridianmedicare.com/web/jddme","","","Y","Angela S. Jenny","DO, DABFM",4
140,10,2,"CGS Administrators, LLC","18003",3,"26 Century Blvd","Ste ST610","","Nashville",50,"37214-3685","8662704909","","A",2022-01-07 20:37:45.337000000,"www.cgsmedicare.com/jc","","","Y","Robert D. Hoover, Jr.","MD, MPH, FACP",4
143,8,1,"Wisconsin Physicians Service Insurance Corporation","05101",11,"1717  W. Broadway","PO Box 1787","","Madison",57,"53701-1787","8665183285","","A",2024-01-02 20:40:31.487000000,"https://med.wpsgha.com/","","","Y","Juan Schaening-Perez, MD","MAC Jurisdiction 5 Contractor Medical Director",1
144,8,1,"Wisconsin Physicians Service Insurance Corporation","05201",11,"1717 W.Broadway","PO Box 1787","","Madison",57,"53701-1787","8665183285","","A",2024-01-02 20:41:49.157000000,"https://med.wpsgha.com","","","Y","Juan Schaening-Perez, MD","MAC Jurisdiction 5 Contractor Medical Director",1
145,8,1,"Wisconsin Physicians Service Insurance Corporation","05301",11,"1717 W. Broadway","PO Box 1787","","Madison",57,"53701-1787","8665183285","","A",2024-01-02 20:41:09.963000000,"https://med.wpsgha.com","","","Y","Juan Schaening-Perez, MD","MAC Jurisdiction 5 Contractor Medical Director",1
146,8,1,"Wisconsin Physicians Service Insurance Corporation","05401",11,"1717 W. Broadway","PO Box 1787","","Madison",57,"53701-1787","8665183285","","A",2024-01-02 20:42:32.433000000,"https://med.wpsgha.com","","","Y","Juan Schaening-Perez, MD","MAC Jurisdiction 5 Contractor Medical Director",1
147,9,1,"Wisconsin Physicians Service Insurance Corporation","05102",11,"1717 W. Broadway","PO Box 1787","","Madison",57,"53701-1787","8665183285","","A",2024-01-02 20:44:23.240000000,"https://med.wpsgha.com","","","Y","Juan Schaening-Perez, MD","MAC Jurisdiction 5 Contractor Medical Director",2
148,9,1,"Wisconsin Physicians Service Insurance Corporation","05202",11,"1717 W. Broadway","PO Box 1787","","Madison",57,"53701-1787","8665183285","","A",2024-01-02 20:44:47.613000000,"https://med.wpsgha.com","","","Y","Juan Schaening-Perez, MD","MAC Jurisdiction 5 Contractor Medical Director",2
149,9,1,"Wisconsin Physicians Service Insurance Corporation","05302",11,"1717 W. Broadway","PO Box 1787","","Madison",57,"53701-1787","8665183285","","A",2024-01-02 20:45:18.427000000,"https://med.wpsgha.com","","","Y","Juan Schaening-Perez, MD","MAC Jurisdiction 5 Contractor Medical Director",2
151,9,1,"Wisconsin Physicians Service Insurance Corporation","05402",11,"1717 W. Broadway","PO Box 1787","","Madison",57,"53701-1787","8665183285","","A",2024-01-02 20:45:47.130000000,"https://med.wpsgha.com","","","Y","Juan Schaening-Perez, MD","MAC Jurisdiction 5 Contractor Medical Director",2
228,9,2,"CGS Administrators, LLC","15102",14,"26 Century Blvd.","Ste. ST610","","Nashville",50,"37214-3685","8662769558","","A",2021-01-05 17:54:20.633000000,"www.cgsmedicare.com","","","Y","Meredith Loveless, MD","Chief Medical Director",2
236,11,2,"CGS Administrators, LLC","15004",14,"Two Vantage Way","","","Nashville",50,"37228-","8772994500","","A",2021-01-05 17:55:01.383000000,"www.cgsmedicare.com","","","Y","Neil Sandler, MD","Chief Medical Officer",3
238,9,2,"CGS Administrators, LLC","15202",14,"26 Century Blvd.","Ste. ST610","","Nashville",50,"37214-3685","8662769558","","A",2021-01-05 17:53:52.357000000,"www.cgsmedicare.com","","","Y","Meredith Loveless, MD,","Chief Medical Director",2
239,8,1,"CGS Administrators, LLC","15101",14,"26 Century Blvd.","Ste ST610","","Nashville",50,"37214-3685","8665906703","","A",2020-09-21 15:54:06.263000000,"www.cgsmedicare.com","","","Y","Meredith Loveless, MD","Chief Medical Officer",1
