"lcd_id","lcd_version","related_num","r_article_id","r_article_version","r_lcd_id","r_lcd_version","r_contractor_id","last_updated"
"32553","20","2","56424","3","","","228","2019-03-22 16:15:07.870000000"
"32553","21","2","56424","3","","","228","2019-03-22 16:15:07.870000000"
"33252","29","1","57520","3","","","368","2019-10-14 15:04:05.083000000"
"33252","29","3","58257","2","","","368","2020-06-19 22:47:14.650000000"
"33261","40","1","57531","22","","","368","2021-05-21 14:17:03.743000000"
"33261","40","2","58751","6","","","368","2021-05-21 14:17:22.497000000"
"33261","40","3","","","38927","11","368","2021-05-21 14:16:47.733000000"
"33267","17","1","57649","3","","","368","2019-11-21 23:30:30.590000000"
"33274","36","1","57715","9","","","368","2021-01-29 16:05:03.830000000"
"33274","36","2","58585","4","","","368","2021-01-29 16:05:03.830000000"
"33274","36","3","","","38828","7","368","2021-01-29 16:05:21.600000000"
"33274","43","1","57715","53","","","368","2025-09-19 13:06:45.160000000"
"33274","43","2","60162","7","","","368","2025-09-19 13:07:07.710000000"
"33274","43","3","","","40025","8","368","2025-09-19 13:07:22.730000000"
"33312","34","1","55426","12","","","388","2017-03-16 19:16:59.283000000"
"33312","34","2","52505","1","","","138","2014-04-04 14:28:40"
"33312","37","1","55426","12","","","388","2017-03-16 19:16:59.283000000"
"33312","37","2","52505","1","","","138","2014-04-04 14:28:40"
"33312","40","1","55426","12","","","388","2017-03-16 19:16:59.283000000"
"33312","40","2","52505","1","","","138","2014-04-04 14:28:40"
"33317","31","1","55426","12","","","139","2017-03-20 18:22:10.983000000"
"33317","31","2","52478","1","","","139","2014-04-04 12:47:30"
"33317","34","1","55426","12","","","139","2017-03-20 18:22:10.983000000"
"33317","34","2","52478","1","","","139","2014-04-04 12:47:30"
"33318","57","1","55426","12","","","140","2017-03-09 18:40:42.867000000"
"33318","57","2","52465","2","","","140","2014-04-04 20:22:12"
"33318","63","1","52465","70","","","140","2025-12-04 18:10:31.063000000"
"33318","63","2","55426","123","","","140","2025-12-04 18:11:24.120000000"
"33318","63","3","60371","4","","","140","2025-12-04 18:10:43.513000000"
"33369","26","1","55426","14","","","388","2017-04-27 15:04:15.133000000"
"33369","26","2","52501","1","","","138","2014-04-04 14:27:02"
"33370","49","1","52466","47","","","140","2022-04-14 21:47:40.807000000"
"33370","49","2","59085","2","","","140","2022-04-14 21:47:40.810000000"
"33370","49","3","55426","91","","","140","2022-04-14 21:47:40.813000000"
"33370","55","1","52466","80","","","140","2025-12-11 16:45:58.743000000"
"33370","55","2","55426","123","","","140","2025-12-03 21:41:59.430000000"
"33370","55","3","60378","3","","","140","2025-12-11 16:46:18.537000000"
"33393","5","1","52830","2","","","308","2014-04-02 21:12:07"
"33393","7","1","52830","2","","","308","2014-04-02 21:12:07"
"33393","9","1","52830","2","","","308","2014-04-02 21:12:07"
"33394","50","1","59756","3","","","297","2024-06-05 19:24:25.357000000"
"33394","50","2","52370","105","","","297","2024-06-05 19:30:14.343000000"
"33394","50","4","52399","50","","","297","2024-06-05 19:30:36.493000000"
"33394","50","5","52855","30","","","297","2024-06-05 19:30:44.490000000"
"33394","50","6","54548","24","","","297","2024-06-05 19:31:04.947000000"
"33394","50","7","52420","58","","","297","2024-06-05 19:31:42.320000000"
"33394","50","8","52421","22","","","297","2024-06-05 19:32:00.720000000"
"33394","50","9","52423","78","","","297","2024-06-05 19:32:24.017000000"
"33394","50","10","52453","40","","","297","2024-06-05 19:32:33.533000000"
"33394","50","11","52448","19","","","297","2024-06-05 19:33:51.803000000"
"33394","50","12","52450","67","","","297","2024-06-05 19:34:04.687000000"
"33394","50","13","52451","59","","","297","2024-06-05 19:34:20.613000000"
"33394","54","1","52370","119","","","297","2025-05-22 13:37:14.377000000"
"33394","54","2","59983","4","","","297","2025-05-22 13:37:59.930000000"
"33394","54","3","52399","50","","","297","2025-05-22 13:39:41.137000000"
"33394","54","4","52855","30","","","297","2025-05-22 13:39:47.443000000"
"33394","54","5","54548","32","","","297","2025-05-22 13:39:54.433000000"
"33394","54","6","52420","60","","","297","2025-05-22 13:40:01.883000000"
"33394","54","7","52421","22","","","297","2025-05-22 13:40:13.487000000"
"33394","54","8","52423","83","","","297","2025-05-22 13:40:19.340000000"
"33394","54","9","52453","40","","","297","2025-05-22 13:40:37.757000000"
"33394","54","10","52448","21","","","297","2025-05-22 13:40:50.110000000"
"33394","54","11","52450","80","","","297","2025-05-22 13:40:57.470000000"
"33394","54","12","52451","72","","","297","2025-06-26 13:10:22.097000000"
"33396","10","1","57453","4","","","297","2019-10-18 14:27:54.020000000"
"33398","32","1","57528","4","","","297","2023-02-02 19:53:32.680000000"
"33398","32","3","59328","10","","","297","2023-02-02 19:55:29.487000000"
"33398","35","1","57528","4","","","297","2023-02-02 19:53:32.680000000"
"33398","35","3","59328","10","","","297","2023-02-02 19:55:29.487000000"
"33399","14","1","57030","3","","","297","2019-09-06 16:27:46.927000000"
"33405","25","1","","","36222","3","368","2015-10-30 21:20:48.013000000"
"33405","25","2","55831","2","","","368","2017-12-07 04:18:43.673000000"
"33405","25","4","57496","4","","","368","2019-10-11 18:15:19.417000000"
"33405","25","5","58259","2","","","368","2020-06-19 22:56:19.440000000"
"33411","29","1","57145","3","","","368","2019-10-02 20:00:19.343000000"
"33417","40","1","55502","2","","","378","2017-04-05 16:35:45.870000000"
"33417","40","2","","","37147","4","378","2017-04-05 16:35:53.130000000"
"33417","40","3","56559","2","","","378","2019-05-08 17:27:21.677000000"
"33420","41","3","53095","6","","","378","2016-10-13 20:06:53.617000000"
"33422","44","1","56565","2","","","394","2019-05-16 12:37:07.730000000"
"33423","51","1","55670","2","","","374","2017-07-28 15:58:50.370000000"
"33423","51","2","","","37377","3","374","2017-07-28 15:59:27.013000000"
"33423","51","3","56691","3","","","391","2019-07-02 22:14:25.673000000"
"33423","55","1","55670","2","","","374","2017-07-28 15:58:50.370000000"
"33423","55","2","","","37377","3","374","2017-07-28 15:59:27.013000000"
"33423","55","3","56691","3","","","391","2019-07-02 22:14:25.673000000"
"33423","58","1","55670","2","","","374","2017-07-28 15:58:50.370000000"
"33423","58","2","","","37377","3","374","2017-07-28 15:59:27.013000000"
"33423","58","3","56691","3","","","391","2019-07-02 22:14:25.673000000"
"33428","53","1","55667","2","","","378","2017-07-26 19:53:04.080000000"
"33428","53","2","53497","7","","","378","2017-07-26 19:54:35.917000000"
"33428","53","3","","","37376","6","378","2017-07-26 19:55:10.473000000"
"33428","53","4","56658","2","","","391","2019-06-25 13:12:54.703000000"
"33431","54","1","","","35132","19","373","2016-05-06 13:14:52.497000000"
"33431","54","2","56686","2","","","394","2019-07-02 16:45:33.777000000"
"33431","59","1","","","35132","19","373","2016-05-06 13:14:52.497000000"
"33431","59","2","56686","2","","","394","2019-07-02 16:45:33.777000000"
"33436","38","1","56732","4","","","394","2019-08-07 20:44:43.287000000"
"33438","47","1","55504","2","","","378","2017-04-05 18:32:10.083000000"
"33438","47","2","","","37156","3","378","2017-04-05 18:32:21.567000000"
"33438","47","3","56531","4","","","378","2019-04-29 20:12:46.463000000"
"33444","42","1","55409","2","","","378","2016-12-15 20:06:18.130000000"
"33444","42","2","","","36753","3","378","2016-12-15 20:06:27.050000000"
"33444","42","3","56784","4","","","394","2019-07-23 19:47:59.053000000"
"33445","71","1","55403","2","","","374","2016-12-14 00:14:36.813000000"
"33445","71","2","","","36927","3","374","2016-12-14 00:14:46.627000000"
"33445","71","3","56346","2","","","391","2019-02-15 16:01:44.017000000"
"33445","79","1","55403","2","","","374","2016-12-14 00:14:36.813000000"
"33445","79","2","","","36927","3","374","2016-12-14 00:14:46.627000000"
"33445","79","3","56346","2","","","391","2019-02-15 16:01:44.017000000"
"33446","47","1","56730","3","","","394","2019-07-17 13:59:46.263000000"
"33447","48","1","55407","2","","","378","2016-12-14 19:02:18.090000000"
"33447","48","2","","","36943","3","378","2016-12-14 19:02:30.087000000"
"33447","48","3","56771","2","","","394","2019-07-21 20:52:02.367000000"
"33449","36","1","56621","5","","","378","2019-06-10 16:39:05.133000000"
"33455","31","1","56724","3","","","394","2019-07-16 13:21:26.797000000"
"33456","71","1","56777","3","","","391","2019-07-23 19:24:45.780000000"
"33457","61","1","54768","2","","","378","2015-12-03 21:54:43.800000000"
"33457","61","2","56476","3","","","391","2019-04-08 15:30:15.823000000"
"33458","69","1","55428","2","","","378","2017-01-10 14:54:38.057000000"
"33458","69","2","","","36928","3","378","2017-01-10 14:54:59.287000000"
