lcd_id,lcd_version,related_num,r_ncd_id,r_ncd_version,last_updated
32553,20,1,155,1,2025-04-29 23:04:19.290000000
32553,20,2,266,1,2025-04-29 23:04:19.293000000
32553,21,1,155,1,2025-04-29 23:04:19.290000000
32553,21,2,266,1,2025-04-29 23:04:19.293000000
33252,29,1,0,1,2025-04-29 23:04:16.640000000
33261,40,1,266,1,2025-04-29 23:04:16.643000000
33261,40,2,187,1,2025-04-29 23:04:16.643000000
33261,40,3,161,1,2025-04-29 23:04:16.647000000
33261,40,4,241,1,2025-04-29 23:04:16.647000000
33267,17,1,0,1,2025-04-29 23:04:16.650000000
33274,36,1,0,1,2025-04-29 23:04:16.650000000
33274,43,1,0,1,2025-04-29 23:04:23.413000000
33312,34,1,190,1,2025-04-29 23:04:18.123000000
33312,34,2,219,1,2025-04-29 23:04:18.123000000
33312,37,1,190,1,2025-04-29 23:04:18.133000000
33312,37,2,219,1,2025-04-29 23:04:18.133000000
33312,40,1,190,1,2025-04-29 23:04:18.133000000
33312,40,2,219,1,2025-04-29 23:04:18.133000000
33317,31,1,0,1,2025-04-29 23:04:18.133000000
33317,34,1,0,1,2025-04-29 23:04:18.137000000
33318,57,1,0,1,2025-04-29 23:04:18.140000000
33318,63,1,0,1,2025-11-20 00:41:57.103000000
33369,26,1,0,1,2025-04-29 23:04:18.140000000
33370,49,1,321,1,2025-04-29 23:04:18.140000000
33370,49,2,190,1,2025-04-29 23:04:18.143000000
33370,55,1,190,4,2025-12-03 21:40:40.077000000
33370,55,2,321,1,2025-12-03 21:40:56.677000000
33393,9,1,0,1,2025-04-29 23:04:23.200000000
33394,50,1,158,1,2025-04-29 23:04:23.037000000
33394,54,1,0,1,2025-04-29 23:04:23.037000000
33396,10,1,42,1,2025-04-29 23:04:23.583000000
33396,10,2,11,1,2025-04-29 23:04:23.583000000
33396,10,3,249,1,2025-04-29 23:04:23.587000000
33398,32,1,346,1,2025-04-29 23:04:23.733000000
33398,35,1,346,1,2025-04-29 23:04:23.733000000
33399,14,1,214,1,2025-04-29 23:04:23.043000000
33399,14,2,215,1,2025-04-29 23:04:23.047000000
