"lcd_id","lcd_version","related_num","source_lcd_id","last_updated"
"33393","5","1","25678","2014-04-02 14:35:31.217000000"
"33690","18","1","13877","2016-03-23 17:53:08.073000000"
"33690","18","2","27232","2016-05-24 11:59:19.043000000"
"33690","18","3","13613","2016-05-24 11:59:42.677000000"
"33690","18","4","13577","2016-05-24 11:59:55.453000000"
"33733","17","1","4989","2016-03-01 14:47:23.513000000"
"33733","17","2","27224","2016-05-24 12:03:32.347000000"
"33733","17","3","11496","2016-05-24 12:03:44.843000000"
"33733","17","4","11485","2016-05-24 12:03:55.700000000"
"33735","17","5","27213","2016-05-24 12:13:04.850000000"
"33735","17","6","11552","2016-05-24 12:13:57.783000000"
"33735","17","7","5038","2016-05-24 12:14:10.857000000"
"33735","17","8","11567","2016-05-24 12:14:30.763000000"
"33736","18","1","4991","2016-03-01 14:49:04.477000000"
"33736","18","2","27225","2016-05-24 12:15:47.423000000"
"33736","18","3","11497","2016-05-24 12:15:59.387000000"
"33736","18","4","11486","2016-05-24 12:16:11.150000000"
"33774","13","1","29008","2014-07-01 18:49:01.233000000"
"33784","19","1","28399","2016-02-26 17:14:52.813000000"
"33784","19","2","28614","2016-05-23 14:59:29.560000000"
"33784","19","3","28480","2016-05-23 14:59:39.123000000"
"33784","19","4","28484","2016-05-23 14:59:47.127000000"
"33786","14","1","27003","2016-02-26 17:16:20.663000000"
"33786","14","2","11558","2016-05-23 15:00:58.717000000"
"33786","14","3","5051","2016-05-23 15:01:08.607000000"
"33786","14","4","11573","2016-05-23 15:01:33.410000000"
"33795","27","1","12872","2016-02-26 18:02:05.070000000"
"33795","27","2","12930","2016-05-23 18:01:47.033000000"
"33795","27","3","27043","2016-05-23 18:02:00.840000000"
"33795","27","4","12744","2016-05-23 18:02:13.320000000"
"33820","18","1","5049","2016-02-26 17:59:39.017000000"
"33820","18","2","11557","2016-05-23 17:58:11.030000000"
"33820","18","3","27216","2016-05-23 17:58:23.387000000"
"33820","18","4","11572","2016-05-23 17:58:39.830000000"
"33823","24","1","15300","2016-02-26 15:54:08.310000000"
"33823","24","2","15905","2016-05-23 15:50:49.220000000"
"33823","24","3","27233","2016-05-23 15:50:53.463000000"
"33823","24","4","15844","2016-05-23 19:22:57.090000000"
"33825","15","1","12743","2016-02-26 15:56:22.153000000"
"33825","15","2","12932","2016-05-23 15:56:11.757000000"
"33825","15","3","27044","2016-05-23 15:56:16.920000000"
"33825","15","4","12873","2016-05-23 15:56:24.423000000"
"34213","42","1","33521","2016-03-16 20:36:54.313000000"
"34824","19","1","34675","2016-05-24 12:33:13.290000000"
"34824","19","2","34740","2016-05-24 12:33:27.143000000"
"34824","19","3","34732","2016-05-24 12:33:38.827000000"
"34824","19","4","34736","2016-05-24 12:33:52.540000000"
"35098","25","1","33386","2016-02-12 16:50:32.563000000"
