lcd_id,lcd_version,meeting_id,meeting_date,"meeting_info",sort_order,last_updated
39122,3,1,2021-10-20 00:00:00,"",1,2021-09-22 16:59:29.250000000
39835,10,1,2024-06-17 00:00:00,"<p>Web Conference</p>",1,2024-05-20 14:26:27.030000000
39835,10,2,2023-10-19 00:00:00,"<p>Web Conference</p>",2,2024-05-20 14:26:27.033000000
39856,3,1,2024-06-18 00:00:00,"<p>This policy will be presented at the June 18, 2024 open meeting.</p>",1,2024-05-23 12:33:41.500000000
39858,4,1,2024-06-27 00:00:00,"<p>Virtual Meeting</p>",1,2024-05-23 22:41:27.777000000
39859,4,1,2024-06-27 00:00:00,"<p>Virtual Meeting</p>",1,2024-05-23 22:48:20.270000000
39908,2,1,2024-06-26 00:00:00,"<p>J5 and J8</p>",1,2024-05-21 16:44:27.297000000
39908,2,2,2024-06-27 00:00:00,"<p>J5</p>",2,2024-05-21 16:44:27.300000000
39908,2,3,2024-06-27 00:00:00,"<p>J8</p>",3,2024-05-21 16:44:27.303000000
39918,3,1,2024-09-09 00:00:00,"<p>Teleconference</p>",1,2024-07-23 15:17:43.383000000
39922,5,1,2024-09-13 00:00:00,"<p>Teleconference only</p>",1,2024-07-23 13:54:52.207000000
39926,5,1,2024-09-13 00:00:00,"<p>Teleconference only</p>",1,2024-07-23 13:55:24.570000000
39932,4,1,2024-10-07 00:00:00,"<p>Teleconference</p>",1,2024-08-19 17:38:11.190000000
39934,4,1,2024-10-07 00:00:00,"<p>Teleconference</p>",1,2024-08-19 17:37:16.827000000
39936,14,1,2025-08-27 00:00:00,"<p>Virtual Meeting<br />Registration: <span style=""line-height: 107%;""><a href=""https://attendee.gotowebinar.com/register/2798695146569114714""><span style=""text-decoration: none;"">https://attendee.gotowebinar.com/register/2798695146569114714</span></a></span><br />Time: 10 am ET<br />Phone Number: 1 866 901 6455<br />Access Code: 752 295 549</p>",1,2025-07-18 18:00:15.487000000
39937,4,1,2024-10-29 00:00:00,"<p><em>Norton Women's &amp; Children's Hospital</em><br />Medical Plaza 1<br />Ground Floor, LLD Conference Room<br />3999 Dutchmans Lane<br />Louisville, KY 40207</p>",1,2024-09-30 13:09:02.663000000
39937,4,2,2024-10-30 00:00:00,"<p><em>OSU Wexler Medical Center</em><br />Biomedical Research Tower<br />460 W 12th Ave<br />Room 105 &ndash; 1st Floor<br />Columbus, OH 43210</p>",2,2024-09-30 13:09:02.667000000
39939,3,1,2024-10-29 00:00:00,"<p><em>Norton Women's &amp; Children's Hospital</em><br />Medical Plaza 1<br />Ground Floor, LLD Conference Room<br />3999 Dutchmans Lane<br />Louisville, KY 40207</p>",1,2024-09-30 12:48:11.220000000
39939,3,2,2024-10-30 00:00:00,"<p><em>OSU Wexler Medical Center</em><br />Biomedical Research Tower<br />460 W 12th Ave<br />Room 105 &ndash; 1st Floor<br />Columbus, OH 43210</p>",2,2024-09-30 12:48:11.223000000
39943,4,1,2024-10-10 00:00:00,"<p>Teleconference only</p>",1,2024-08-19 14:59:16.447000000
39945,5,1,2024-10-10 00:00:00,"<p>Teleconference only</p>",1,2024-08-19 14:59:55.140000000
39947,3,1,2024-10-10 00:00:00,"<p>Teleconference only</p>",1,2024-08-19 15:04:34.273000000
39949,3,1,2024-10-10 00:00:00,"<p>Teleconference only</p>",1,2024-08-19 15:05:03.363000000
39983,8,1,2024-09-13 00:00:00,"<p><strong>The open meeting is a meeting for MAC JH and JL. </strong></p>
<p><strong>Location of Meeting:</strong> <br />Teleconference/Webinar Only</p>
<p><strong>Time of Meeting:</strong> <br />10am ET</p>
<p><strong>Link to MAC Website:</strong> <br /><strong>JH </strong>- <a href=""http://www.novitas-solutions.com/webcenter/portal/MedicareJH/pagebyid?contentId=00007708"" target=""_blank"" rel=""noopener"">http://www.novitas-solutions.com/webcenter/portal/MedicareJH/pagebyid?contentId=00007708</a> <br /><strong>JL </strong>- <a href=""http://www.novitas-solutions.com/webcenter/portal/MedicareJL/pagebyid?contentId=00007707"" target=""_blank"" rel=""noopener"">http://www.novitas-solutions.com/webcenter/portal/MedicareJL/pagebyid?contentId=00007707</a></p>",1,2024-08-22 15:51:15.507000000
39986,2,1,2024-10-16 00:00:00,"<p>J5 and J8 Teleconference</p>",1,2024-08-21 16:53:43.323000000
39986,2,2,2024-10-17 00:00:00,"<p>J5 Teleconference</p>",2,2024-08-21 16:53:43.327000000
39986,2,3,2024-10-17 00:00:00,"<p>J8 Teleconference</p>",3,2024-08-21 16:53:43.333000000
39988,2,1,2024-10-16 00:00:00,"<p>J5 and J8&nbsp;Teleconference</p>",1,2024-08-21 17:11:28.053000000
39988,2,2,2024-10-17 00:00:00,"<p>J5, J8 Teleconference&nbsp;</p>",2,2024-08-21 17:11:28.063000000
39996,7,1,2024-09-12 00:00:00,"<p><strong>The open meeting is a meeting for MAC JN. </strong></p>
<p><strong>Location of Meeting:</strong> <br />Teleconference/Webinar Only</p>
<p><strong>Time of Meeting:</strong> <br />1PM ET</p>
<p><strong>Link to JN website:</strong> <br /><a href=""https://medicare.fcso.com/Open_Public_Meeting/0458851.asp"" target=""_blank"" rel=""noopener"">https://medicare.fcso.com/Open_Public_Meeting/0458851.asp</a></p>",1,2024-08-22 15:52:33.970000000
39999,3,1,2024-10-29 00:00:00,"<p><em>Norton Women's &amp; Children's Hospital</em><br />Medical Plaza 1<br />Ground Floor, LLD Conference Room<br />3999 Dutchmans Lane<br />Louisville, KY 40207</p>",1,2024-09-30 15:05:11.393000000
39999,3,2,2024-10-30 00:00:00,"<p><em>OSU Wexler Medical Center</em><br />Biomedical Research Tower<br />460 W 12th Ave<br />Room 105 &ndash; 1st Floor<br />Columbus, OH 43210</p>",2,2024-09-30 15:05:11.400000000
40016,43,1,2024-10-25 00:00:00,"<p><strong>The open meeting is a meeting for MAC JH JL.</strong></p>
<p><strong>Location of Meeting:<br /></strong>Teleconference/Webinar Only</p>
<p><strong>Time of Meeting:<br /></strong>10:00 am ET<br />9:00 am CT<br />8:00 am MT</p>
<p><strong>Link to MAC Website:</strong><br />JL - <a href=""https://www.novitas-solutions.com/webcenter/portal/MedicareJL/pagebyid?contentId=00007707"" target=""_blank"" rel=""noopener"">https://www.novitas-solutions.com/webcenter/portal/MedicareJL/pagebyid?contentId=00007707</a><br />JH - <a href=""https://www.novitas-solutions.com/webcenter/portal/MedicareJH/pagebyid?contentId=00007708"" target=""_blank"" rel=""noopener"">https://www.novitas-solutions.com/webcenter/portal/MedicareJH/pagebyid?contentId=00007708</a></p>",1,2024-10-04 15:27:00.823000000
40016,43,2,2023-10-19 00:00:00,"<p>The meeting was held via webinar. A multi-MAC Contractor Committee (CAC) Advisory Meeting was hosted by National Government Services (NGS) and included Noridian, Novitas Solutions, First Coast, Wisconsin Physician Services, Palmetto GBA, and CGS. The transcript and audio for this meeting is posted to each MAC&rsquo;s website. Feedback from the subject matter experts is included through the evidence summary.</p>
<p><strong>Link to MAC Website:</strong></p>
<p>JL - <a href=""https://www.novitas-solutions.com/webcenter/portal/MedicareJL/pagebyid?contentId=00234706"" target=""_blank"" rel=""noopener"">https://www.novitas-solutions.com/webcenter/portal/MedicareJL/pagebyid?contentId=00234706</a><br />JH - <a href=""https://www.novitas-solutions.com/webcenter/portal/MedicareJH/pagebyid?contentId=00234706"" target=""_blank"" rel=""noopener"">https://www.novitas-solutions.com/webcenter/portal/MedicareJH/pagebyid?contentId=00234706</a></p>",2,2024-10-04 15:27:00.837000000
40021,2,1,2024-10-23 00:00:00,"<p>J5 and J8 Teleconference</p>",1,2024-10-03 12:04:15.780000000
40021,2,2,2024-10-24 00:00:00,"<p>J5</p>",2,2024-10-03 12:04:15.783000000
40021,2,3,2024-10-24 00:00:00,"<p>J8</p>",3,2024-10-03 12:04:15.787000000
40025,8,1,2024-10-24 00:00:00,"<p><strong>The open meeting is a meeting for MAC JN.</strong></p>
<p><strong>Location of Meeting:</strong><br />Teleconference/Webinar Only<br /><br /><strong>Time of Meeting:</strong><br />1PM ET<br /><br /><strong>Link to MAC Website:</strong><br />JN - <a href=""https://medicare.fcso.com/Open_Public_Meeting/0458851.asp"" target=""_blank"" rel=""noopener"">https://medicare.fcso.com/Open_Public_Meeting/0458851.asp</a></p>",1,2024-10-04 15:28:14.503000000
40025,8,2,2023-10-19 00:00:00,"<p style=""line-height: 18.0pt;""><span style=""background: white;"">The meeting was held via webinar. A multi-MAC Contractor Committee (CAC) Advisory Meeting was hosted by </span><span style=""background: white;"">National Government Services (NGS) and included </span></p>
<p style=""line-height: 18.0pt;""><span style=""background: white;""> Noridian, Novitas Solutions, First Coast, Wisconsin Physician Services, Palmetto GBA, and CGS. </span><span style=""background: white;"">The transcript and audio for this meeting is posted to each MAC&rsquo;s website. Feedback from the subject matter experts is included through the evidence summary.</span></p>
<p style=""line-height: 18.0pt;""><strong>Link to MAC Website:</strong></p>
<p><a href=""https://medicare.fcso.com/cac/0469491.asp"" target=""_blank"" rel=""noopener"">https://medicare.fcso.com/cac/0469491.asp</a></p>",2,2024-10-04 15:28:14.507000000
40031,3,1,2025-03-10 00:00:00,"<p>Web Conference</p>",1,2025-01-31 15:46:27.287000000
40037,4,1,2025-03-10 00:00:00,"<p>Web Conference</p>",1,2025-01-31 15:44:59.133000000
40045,5,1,2025-03-10 00:00:00,"<p>Web Conference</p>",1,2025-01-31 15:45:53.540000000
40047,6,1,2025-03-13 00:00:00,"<p>Virtual Teleconference</p>
<p>11:00 a.m.-1:00 p.m. CT</p>
<p>12:00 p.m.-2:00 p.m. ET</p>",1,2025-02-07 16:31:04.477000000
40049,3,1,2025-03-06 00:00:00,"<p>1:00 PM CT&nbsp;</p>
<p>Teleconference Only</p>",1,2025-01-31 12:36:36.740000000
40051,4,1,2025-03-06 00:00:00,"<p>1:00 PM CT</p>
<p>Teleconference Only</p>",1,2025-01-31 12:37:18.733000000
40055,3,1,2025-02-25 00:00:00,"<p>This policy will be discussed during the open meeting on February 25, 2025.</p>",1,2025-01-31 12:20:02.853000000
40057,9,1,2025-08-25 00:00:00,"<p>Teleconference</p>",1,2025-07-09 18:51:35.600000000
40057,9,2,2022-11-16 00:00:00,"<p>Multi-jurisdictional teleconference hosted by Noridian and Palmetto GBA</p>",2,2025-07-09 18:51:35.603000000
40057,9,3,2022-11-17 00:00:00,"<p>Multi-jurisdictional teleconference hosted by Noridian and Palmetto GBA</p>",3,2025-07-09 18:51:35.607000000
40059,8,1,2025-08-26 00:00:00,"<p>Teleconference</p>",1,2025-07-11 15:13:41.777000000
40061,7,1,2025-08-26 00:00:00,"<p>Teleconference</p>",1,2025-07-11 15:15:07.353000000
40139,7,1,2025-08-27 00:00:00,"<p>Will be discussed during the August 27, 2025, open meeting. Please check website for additional information.</p>",1,2025-07-10 11:34:44.633000000
40141,4,1,2025-08-25 00:00:00,"<p>Teleconference</p>",1,2025-07-09 19:32:41.603000000
40141,4,2,2024-07-15 00:00:00,"<p>Teleconference</p>",2,2025-07-09 19:32:41.607000000
