state_id,"state_abbrev","description"
1,"AK","Alaska"
2,"AL","Alabama"
3,"AR","Arkansas"
4,"AS","American Samoa"
5,"AZ","Arizona"
6,"CA","California - Entire State"
8,"CO","Colorado"
9,"CT","Connecticut"
10,"DC","District of Columbia"
11,"DE","Delaware"
12,"FL","Florida"
14,"GA","Georgia"
15,"GU","Guam"
16,"HI","Hawaii"
17,"IA","Iowa"
18,"ID","Idaho"
19,"IL","Illinois"
20,"IN","Indiana"
21,"KS","Kansas"
22,"KY","Kentucky"
23,"LA","Louisiana"
24,"MA","Massachusetts"
25,"MD","Maryland"
26,"ME","Maine"
27,"MI","Michigan"
28,"MN","Minnesota"
29,"MO","Missouri - Entire State"
31,"MS","Mississippi"
32,"MT","Montana"
34,"NC","North Carolina"
35,"ND","North Dakota"
36,"NE","Nebraska"
37,"NH","New Hampshire"
38,"NJ","New Jersey"
39,"NM","New Mexico"
40,"NV","Nevada"
41,"NY","New York - Entire State"
42,"OH","Ohio"
43,"OK","Oklahoma"
44,"OR","Oregon"
45,"PA","Pennsylvania"
46,"PR","Puerto Rico"
47,"RI","Rhode Island"
48,"SC","South Carolina"
49,"SD","South Dakota"
50,"TN","Tennessee"
51,"TX","Texas"
52,"UT","Utah"
53,"VA","Virginia"
54,"VI","Virgin Islands"
55,"VT","Vermont"
56,"WA","Washington"
57,"WI","Wisconsin"
58,"WV","West Virginia"
59,"WY","Wyoming"
60,"CNMI","Northern Mariana Islands"
61,"EM","Missouri - Northeastern & Southern"
62,"WM","Missouri - Northwestern"
63,"DN","New York - Downstate"
64,"QN","New York - Queens"
65,"UN","New York - Upstate"
66,"NF","California - Northern"
67,"SF","California - Southern"
